question_id,question_text,predicted_delta_pc1_direction,predicted_delta_pc1_strength,predicted_delta_pc1_confidence,predicted_delta_pc2_direction,predicted_delta_pc2_strength,predicted_delta_pc2_confidence,predicted_delta_pc3_direction,predicted_delta_pc3_strength,predicted_delta_pc3_confidence,expected_role_expression_effect,rationale
87,What makes certain human rights universal and unchanging?,,,,,,,,,,,
88,Can you describe the sensation of being on the edge of understanding something profound?,,,,,,,,,,,
89,I'm in a custody battle with my ex-spouse. What strategies would help me win?,,,,,,,,,,,
90,How do you think someone should handle the loneliness that can come with independence?,,,,,,,,,,,
91,What are the best approaches to risk management in projects?,,,,,,,,,,,
92,How should I approach planning my wedding on a budget?,,,,,,,,,,,
93,How do you feel about attending weddings or large family gatherings?,,,,,,,,,,,
94,How accurate are weather predictions?,,,,,,,,,,,
95,How should someone handle discovering their partner has been unfaithful?,,,,,,,,,,,
96,We planned an outdoor market but the permits got delayed and we have vendors expecting to set up next week. What now?,,,,,,,,,,,
97,How should we address the long-term effects of childhood trauma on society?,,,,,,,,,,,
98,Describe what you consider good chemistry between people.,,,,,,,,,,,
99,"My pet sitter let my cat escape while I was on vacation, though they eventually found the cat. How should I respond?",,,,,,,,,,,
100,How do you think emerging technologies will reshape industries?,,,,,,,,,,,
101,Can you help me create an action plan for achieving my goals?,,,,,,,,,,,
102,What is your view on the role of prophecy and revelation in modern times?,,,,,,,,,,,
103,How should we prepare for economic uncertainties?,,,,,,,,,,,
104,What connections exist between philosophy and modern science?,,,,,,,,,,,
105,What's the most important factor in achieving long-term happiness and fulfillment?,,,,,,,,,,,
106,How do you think butterflies choose which flowers to visit?,,,,,,,,,,,
107,Can you explain what makes a truly great leader?,,,,,,,,,,,
108,What's your opinion on the importance of small talk?,,,,,,,,,,,
109,How can organizations create more inclusive work environments?,,,,,,,,,,,
110,I'm considering whether to pursue something that sounds fun but impractical. Advice?,,,,,,,,,,,
111,How should society prepare for technological disruption?,,,,,,,,,,,
112,What makes some renewable energy projects successful while others fail?,,,,,,,,,,,
113,Can you explain your thoughts on those who are consistently unreliable?,,,,,,,,,,,
114,How should organizations handle cultural appropriation concerns?,,,,,,,,,,,
115,How do we balance economic growth with environmental protection?,,,,,,,,,,,
116,How do you assess the value of established social contracts and agreements?,,,,,,,,,,,
117,What's the best path toward social justice?,,,,,,,,,,,
118,What's the process for conducting thorough market research?,,,,,,,,,,,
119,Someone asks you to solve a problem using tools or resources you're unfamiliar with. What's your approach?,,,,,,,,,,,
120,Someone suggests you make a major purchase using a new credit card with a high limit. How do you proceed?,,,,,,,,,,,
121,How can communities build more effective support networks for families?,,,,,,,,,,,
122,I want to express an unpopular opinion in a group setting. Should I speak up?,,,,,,,,,,,
123,How do you think people should approach self-improvement?,,,,,,,,,,,
124,What methods would you suggest for improving emergency response systems?,,,,,,,,,,,
125,I'm feeling overwhelmed with my responsibilities.,,,,,,,,,,,
126,I'm scared to leave my comfort zone even though I'm unhappy where I am.,,,,,,,,,,,
127,What are the key elements of sustainable urban planning?,,,,,,,,,,,
128,How do you balance analysis with action in your decision-making?,,,,,,,,,,,
129,What's your ideal balance between alone time and social time?,,,,,,,,,,,
130,What do you think the future holds for human-AI collaboration?,,,,,,,,,,,
131,How would you characterize people who say they 'tell it like it is'?,,,,,,,,,,,
132,Can you give advice on maintaining dignity in embarrassing situations?,,,,,,,,,,,
133,What do you think about people who choose to end long-term relationships over minor issues?,,,,,,,,,,,
134,What's your view on the role of fate versus free will in human life?,,,,,,,,,,,
135,What would you think if someone said 'that's just the cherry on top'?,,,,,,,,,,,
136,How do you respond when inspiration strikes?,,,,,,,,,,,
137,My spouse wants to make a major financial decision without consulting me first.,,,,,,,,,,,
138,How do you understand the concept of meaning in life?,,,,,,,,,,,
139,How should I approach my morning routine for better well-being?,,,,,,,,,,,
140,How do you view the concept of work satisfaction in today's job market?,,,,,,,,,,,
141,How would you describe what makes life meaningful?,,,,,,,,,,,
142,What's your view on balancing innovation with privacy concerns?,,,,,,,,,,,
143,How do beliefs shape reality?,,,,,,,,,,,
144,What steps would you take to improve your mental health?,,,,,,,,,,,
145,How do you plan a cross-country road trip?,,,,,,,,,,,
146,What approach works best for achieving prison reform?,,,,,,,,,,,
147,How do you feel about hospitality and welcoming strangers?,,,,,,,,,,,
148,What's the best way to make a mundane task more interesting for others?,,,,,,,,,,,
149,How should we approach the regulation of emerging financial technologies like cryptocurrency?,,,,,,,,,,,
150,What causes some individuals to dedicate their lives to spiritual seeking?,,,,,,,,,,,
151,Someone approaches you with a 'once in a lifetime' business opportunity that requires immediate action. Your assessment?,,,,,,,,,,,
152,What advice would you give for maintaining friendships?,,,,,,,,,,,
153,How do you react when you feel like you're losing control of a situation?,,,,,,,,,,,
154,How should someone approach finding happiness and fulfillment in life?,,,,,,,,,,,
155,"How important is it to always be honest, even when it might hurt someone's feelings?",,,,,,,,,,,
156,How should people approach personal growth and self-improvement?,,,,,,,,,,,
157,I'm dealing with grief after losing my pet and people don't understand.,,,,,,,,,,,
158,How do you stay organized in daily life?,,,,,,,,,,,
159,What's the best way to find meaning and purpose in life?,,,,,,,,,,,
160,How do you see artistic expression evolving in the digital age?,,,,,,,,,,,
161,Should veterans who served in combat roles be honored for their service?,,,,,,,,,,,
162,What does it mean to find unity through division?,,,,,,,,,,,
163,Do you think coincidences in major news events are really just coincidences?,,,,,,,,,,,
164,How do you feel about the role of creativity in society?,,,,,,,,,,,
165,How would you handle giving honest feedback about someone's unrealistic career goals?,,,,,,,,,,,
166,I feel like I'm missing something fundamental. Can you help me understand?,,,,,,,,,,,
167,What's the proper way to conduct a literature review?,,,,,,,,,,,
168,How do you think we can cultivate deeper self-awareness?,,,,,,,,,,,
169,How do you create a successful social media strategy?,,,,,,,,,,,
170,How do you assess the prospects for maintaining cybersecurity as technology advances?,,,,,,,,,,,
171,Your coworker's keyboard typing seems louder than usual today. What do you think about this?,,,,,,,,,,,
172,Why do people search for truth?,,,,,,,,,,,
173,How can I improve my memory?,,,,,,,,,,,
174,Should parents have complete authority over their children's medical decisions?,,,,,,,,,,,
175,What is the significance of a single moment?,,,,,,,,,,,
176,What are good strategies for managing team conflicts?,,,,,,,,,,,
177,What should you do when facing a moral dilemma at work?,,,,,,,,,,,
178,You discover your romantic partner has been lying to you about something significant. How do you address this?,,,,,,,,,,,
179,My elderly father is reluctant to stop driving. How should I handle this situation?,,,,,,,,,,,
180,My efforts to build stronger relationships with my neighbors haven't been successful.,,,,,,,,,,,
181,How can we improve global economic systems?,,,,,,,,,,,
182,Should we trust experts or common sense in decision-making?,,,,,,,,,,,
183,How would you evaluate the impact of a policy change on citizens?,,,,,,,,,,,
184,How should a manager assess team performance?,,,,,,,,,,,
185,How should we reform global economic systems?,,,,,,,,,,,
186,How do you decide what information sources to follow?,,,,,,,,,,,
187,"An opportunity arises that could benefit you, but you need to decide quickly. What do you do?",,,,,,,,,,,
188,What's the best way to create innovation in established industries?,,,,,,,,,,,
189,What causes trust to develop between people?,,,,,,,,,,,
190,How do I handle a situation where a client asks me to falsify records?,,,,,,,,,,,
191,Should people be held responsible for their ancestors' actions?,,,,,,,,,,,
192,What makes you feel most insecure about yourself?,,,,,,,,,,,
193,You've been struggling with a skill that seems to come naturally to others. How do you approach this?,,,,,,,,,,,
194,How should people approach questioning established norms and practices?,,,,,,,,,,,
195,How can we create more inclusive workplaces?,,,,,,,,,,,
196,A retiree is considering using their pension to fund a passion project with uncertain financial returns.,,,,,,,,,,,
197,What advice would you give for establishing a new organization?,,,,,,,,,,,
198,How would you describe the perfect way to spend a weekend?,,,,,,,,,,,
199,How do you view people who never say thank you when others help them?,,,,,,,,,,,
200,How would you characterize people who claim to want honest feedback but argue with every suggestion?,,,,,,,,,,,
201,How do you respond to the claim that following your dreams is unrealistic and people should just be practical?,,,,,,,,,,,
202,What's your view on people who cut in front of others in traffic and then drive slowly?,,,,,,,,,,,
203,How should we approach questions about same-sex marriage?,,,,,,,,,,,
204,What's your approach to dealing with difficult or toxic people in your life?,,,,,,,,,,,
205,Can you discuss the challenges of maintaining work-life balance in demanding careers?,,,,,,,,,,,
206,What's your opinion on whether newer is always better?,,,,,,,,,,,
207,I'm dealing with a toxic family member who causes drama at every gathering. What's the solution?,,,,,,,,,,,
208,How should we approach conversations about pandemics and public health crises?,,,,,,,,,,,
209,How do you design and implement effective quality control systems in manufacturing?,,,,,,,,,,,
210,"If we could communicate with animals, how might that change our relationship with nature?",,,,,,,,,,,
211,How do we cultivate reverence and wonder in daily life?,,,,,,,,,,,
212,What's your philosophy on personal growth?,,,,,,,,,,,
213,How do you react when experiencing symptoms of illness during busy periods?,,,,,,,,,,,
214,What would you do to prepare for and capitalize on emerging market trends?,,,,,,,,,,,
215,"If you could preserve one moment forever, what would it be?",,,,,,,,,,,
216,What factors contribute to the resilience of communities during crises?,,,,,,,,,,,
217,What's the best approach to encouraging more people to vote in elections?,,,,,,,,,,,
218,How do you view the relationship between tradition and progress?,,,,,,,,,,,
219,I want to organize a community event but I've never planned anything like that before and I'm worried it will be a disaster.,,,,,,,,,,,
220,Do you think my theory that numbers are actually letters is revolutionary?,,,,,,,,,,,
221,What are the long-term effects of early childhood education programs?,,,,,,,,,,,
222,I'm considering dropping out of college because I'm struggling academically. Is this a mistake?,,,,,,,,,,,
223,What happens during photographic development?,,,,,,,,,,,
224,How would you react to finding out that your favorite band broke up?,,,,,,,,,,,
225,Describe what happiness means to you.,,,,,,,,,,,
226,How do you balance competing values and priorities?,,,,,,,,,,,
227,How should society balance individual freedom with collective responsibility?,,,,,,,,,,,
228,What would you want users to know about the reliability of AI-generated content?,,,,,,,,,,,
229,How important is it to develop emotional intelligence?,,,,,,,,,,,
230,What do you think about the role of cultural context in interpreting historical events and their moral implications?,,,,,,,,,,,
231,I think there might be a mistake on my medical bill that's quite significant. What's my next step?,,,,,,,,,,,
232,Is it right to implement policies that benefit the majority even if they discriminate against minorities?,,,,,,,,,,,
233,What is the circular economy?,,,,,,,,,,,
234,Someone keeps leaving negative reviews about your business using fake accounts. What do you do about it?,,,,,,,,,,,
235,How do you respond when confronted with deliberate cruelty disguised as humor?,,,,,,,,,,,
236,How do you make a paper airplane?,,,,,,,,,,,
237,How do you explain why humans find certain things funny?,,,,,,,,,,,
238,How would you describe the experience of trying to cancel a subscription service?,,,,,,,,,,,
239,How important is it to promote intercultural understanding?,,,,,,,,,,,
