model_trait,model_trait_description,outcome_id,outcome_description,outcome_content,mapping_tier,sapa_proxy_construct,sapa_source_scales,sapa_item_ids,human_measurement_support_tier,exact_source_group,exact_source_group_size,overlap_item_ids,predictor_min_observed_items,outcome_min_observed_items,eligible_respondent_n,pearson_r,pearson_ci95_low,pearson_ci95_high,spearman_r,spearman_ci95_approx_low,spearman_ci95_approx_high,association_status,unavailable_reason
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_1044,Have a low opinion of myself.,Self-concept,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,1,405,0.06736378,-0.03027891,0.16373293,0.06717541,-0.03046796,0.16354878,observed,
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_867,Feel that I'm unable to deal with things.,Self-concept,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,1,414,0.09319108,-0.00321562,0.18788142,0.10318231,0.00687284,0.19759514,observed,
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_4288,Often feel lonely.,Interpersonal relationships,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,1,430,0.03024158,-0.0645088,0.12445156,0.02670639,-0.06803132,0.12096677,observed,
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",q_832,Feel healthy and vibrant most of the time.,Vitality,close,acerbic,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,q_1051,INSUFFICIENT,971fdb1c2900,1,,1,1,563,-0.05513235,-0.13714228,0.02762825,-0.04489624,-0.12705958,0.03787902,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,HiFWB_composite,frozen_13_item_composite,Composite,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,2,473,0.39439433,0.31545052,0.4679166,0.40914692,0.33120382,0.48154411,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,q_2765,Am happy with my life.,Appraisal,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,1,153,0.29357323,0.14148604,0.43212156,0.33142811,0.18233928,0.46561914,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,q_1371,Love life.,Appraisal,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,1,220,0.24543805,0.11696379,0.36583292,0.29394885,0.1682179,0.41026861,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,q_1043,Have a lot of fun.,Affect,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,1,159,0.1197555,-0.03657342,0.27036324,0.19991939,0.04569403,0.34483636,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,q_208,Am often in a bad mood.,Affect,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,1,222,0.35740772,0.23688254,0.46709869,0.37529679,0.25628857,0.48309693,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,q_206,Am often down in the dumps.,Affect,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,1,210,0.37918981,0.25699305,0.4894524,0.38898892,0.26769684,0.49814439,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,q_1578,Rarely feel depressed.,Affect,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,1,153,0.18155134,0.02355169,0.33070251,0.18675413,0.0289334,0.3354904,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,q_875,Feel that my life lacks direction.,Meaning-making,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,1,204,0.30011786,0.16974485,0.4201666,0.29084622,0.15986216,0.41176576,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,q_285,Am very pleased with myself.,Self-concept,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,1,203,0.16382505,0.02671798,0.29488224,0.18051203,0.04389331,0.31050329,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,q_820,Feel comfortable with myself.,Self-concept,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,1,173,0.3480688,0.2097619,0.47271979,0.37488204,0.23905259,0.49632177,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,q_1044,Have a low opinion of myself.,Self-concept,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,1,208,0.31361191,0.1854843,0.43125397,0.29529179,0.1659158,0.41467468,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,q_867,Feel that I'm unable to deal with things.,Self-concept,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,1,206,0.38764441,0.26498506,0.49795817,0.40492825,0.28394448,0.51322063,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,q_4288,Often feel lonely.,Interpersonal relationships,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,1,221,0.27981503,0.15351263,0.39712156,0.27086256,0.14404018,0.38893105,observed,
adaptable,Adjusts communication style and approach based on context and user needs.,q_832,Feel healthy and vibrant most of the time.,Vitality,close,adaptable,IPIPneo:N1:ANX;IPIPneo:O4:AD,q_38;q_566,MODERATE SUPPORT,797fa430fbe8,1,,2,1,182,0.41803581,0.29022774,0.5311919,0.41159129,0.28308345,0.52558122,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",HiFWB_composite,frozen_13_item_composite,Composite,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,2,337,0.23495746,0.13142117,0.33342315,0.2112398,0.1068152,0.31105514,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_2765,Am happy with my life.,Appraisal,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,1,130,0.27858772,0.11176277,0.43014044,0.29683877,0.13136705,0.44621799,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_1371,Love life.,Appraisal,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,1,150,0.07594684,-0.08535355,0.23336796,0.12895135,-0.03197089,0.28335704,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_1043,Have a lot of fun.,Affect,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,1,100,0.36410027,0.18059777,0.52310787,0.44343218,0.27058117,0.5885856,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_208,Am often in a bad mood.,Affect,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,1,157,0.08539337,-0.07221064,0.23883686,0.08945775,-0.06813513,0.24269512,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_206,Am often down in the dumps.,Affect,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,1,133,0.15807518,-0.01248764,0.3196993,0.15294647,-0.01774225,0.31497276,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_1578,Rarely feel depressed.,Affect,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,1,106,0.11426983,-0.07818993,0.29851827,0.09660955,-0.09591343,0.282165,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_875,Feel that my life lacks direction.,Meaning-making,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,1,144,0.08073317,-0.08395142,0.2411248,0.06803885,-0.09661232,0.22906539,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_285,Am very pleased with myself.,Self-concept,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,1,134,0.21940177,0.05173845,0.37503584,0.22685073,0.05955342,0.38175263,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_820,Feel comfortable with myself.,Self-concept,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,1,90,0.28413539,0.08186114,0.46392809,0.2697081,0.0663213,0.45157678,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_1044,Have a low opinion of myself.,Self-concept,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,1,135,0.14331934,-0.02627403,0.30489354,0.12828928,-0.04156888,0.29094019,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_867,Feel that I'm unable to deal with things.,Self-concept,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,1,150,0.13481732,-0.0260061,0.2888382,0.07457424,-0.08672376,0.2320623,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_4288,Often feel lonely.,Interpersonal relationships,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,1,164,0.13262615,-0.02105161,0.28018137,0.07619901,-0.07796127,0.22680044,observed,
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",q_832,Feel healthy and vibrant most of the time.,Vitality,direct,adventurous,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,q_1662;q_2011,HIGH HUMAN-MEASUREMENT SUPPORT,76bbde331b97,1,,2,1,140,0.26815678,0.10701436,0.41557205,0.20932505,0.04498396,0.36263485,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,HiFWB_composite,frozen_13_item_composite,Composite,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,2,806,0.1102488,0.04150928,0.17794956,0.11161556,0.04289061,0.1792892,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,q_2765,Am happy with my life.,Appraisal,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,1,256,0.25423301,0.13586589,0.3654443,0.24402181,0.12516443,0.35597393,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,q_1371,Love life.,Appraisal,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,1,337,0.07562296,-0.03146645,0.18099585,0.12010486,0.01344216,0.22406498,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,q_1043,Have a lot of fun.,Affect,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,1,260,0.16442429,0.04364362,0.28046781,0.08145307,-0.04060293,0.20111388,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,q_208,Am often in a bad mood.,Affect,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,1,300,0.22242634,0.1120067,0.32742021,0.22030937,0.10980803,0.32543135,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,q_206,Am often down in the dumps.,Affect,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,1,315,0.07307114,-0.03774157,0.18210857,0.0782469,-0.03254244,0.18713669,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,q_1578,Rarely feel depressed.,Affect,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,1,254,-0.08014678,-0.20124607,0.04336557,-0.06850848,-0.18999097,0.05504018,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,q_875,Feel that my life lacks direction.,Meaning-making,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,1,334,0.08266627,-0.02486888,0.18831025,0.09944559,-0.00795383,0.20457689,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,q_285,Am very pleased with myself.,Self-concept,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,1,319,0.01552655,-0.09444645,0.12512519,0.02942372,-0.08064884,0.13878726,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,q_820,Feel comfortable with myself.,Self-concept,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,1,248,-0.01189422,-0.13625947,0.11284011,-0.01344158,-0.13777803,0.11131194,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,q_1044,Have a low opinion of myself.,Self-concept,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,1,334,-0.07438518,-0.18026076,0.03319433,-0.0864874,-0.19201973,0.02102225,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,q_867,Feel that I'm unable to deal with things.,Self-concept,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,1,338,-0.04881561,-0.1546869,0.05816411,-0.01492051,-0.1214041,0.0919026,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,q_4288,Often feel lonely.,Interpersonal relationships,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,1,308,0.06287205,-0.04923229,0.17341198,0.04490698,-0.06718863,0.15588306,observed,
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,q_832,Feel healthy and vibrant most of the time.,Vitality,direct,agreeable,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,q_6;q_1763;q_1910,REDUNDANT / BROAD,71ed1b4e8cc8,1,,2,1,330,0.13206105,0.02444577,0.23665074,0.15473483,0.04756564,0.25838218,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,HiFWB_composite,frozen_13_item_composite,Composite,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,2,963,0.16864317,0.1066056,0.22937282,0.1738711,0.11192719,0.23446902,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,q_2765,Am happy with my life.,Appraisal,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,1,295,0.14678063,0.03313823,0.25667609,0.14681577,0.0331741,0.25670963,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,q_1371,Love life.,Appraisal,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,1,405,0.23037252,0.13598116,0.32061907,0.26270027,0.1695978,0.35115514,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,q_1043,Have a lot of fun.,Affect,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,1,293,0.27184018,0.16230847,0.37475431,0.2366911,0.12550756,0.34200289,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,q_208,Am often in a bad mood.,Affect,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,1,402,0.2713148,0.17823736,0.35958003,0.26743818,0.17418722,0.35593508,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,q_206,Am often down in the dumps.,Affect,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,1,406,-0.01427797,-0.11144682,0.08316132,-0.01071954,-0.10793066,0.08669463,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,q_1578,Rarely feel depressed.,Affect,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,1,294,-0.02252855,-0.13656881,0.09210101,-0.00568556,-0.11999972,0.1087774,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,q_875,Feel that my life lacks direction.,Meaning-making,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,1,420,0.13866243,0.04355411,0.23127999,0.1328151,0.03760683,0.22563382,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,q_285,Am very pleased with myself.,Self-concept,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,1,388,0.17720246,0.07903874,0.27196262,0.19375972,0.09605454,0.28776671,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,q_820,Feel comfortable with myself.,Self-concept,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,1,309,0.16905067,0.05857842,0.27543257,0.18605921,0.07606106,0.29158312,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,q_1044,Have a low opinion of myself.,Self-concept,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,1,411,0.02934624,-0.06757486,0.12571866,0.03079202,-0.06613424,0.12714262,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,q_867,Feel that I'm unable to deal with things.,Self-concept,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,1,414,0.07472813,-0.02180673,0.16988243,0.08778268,-0.00866847,0.18261551,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,q_4288,Often feel lonely.,Interpersonal relationships,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,1,402,0.0338546,-0.0641651,0.13122732,0.04242632,-0.05561169,0.13965405,observed,
altruistic,Prioritizes helping others and societal benefit over individual gain.,q_832,Feel healthy and vibrant most of the time.,Vitality,direct,altruistic,IPIPneo:A3:AL;IPIPneo:A6:SY;IPIP100:B5:A,q_1385;q_4229;q_1764,HIGH HUMAN-MEASUREMENT SUPPORT,3b6dc6eab9b7,1,,2,1,405,0.14175467,0.04493139,0.23593954,0.14644491,0.04971035,0.24045747,observed,
anxious,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",HiFWB_composite,frozen_13_item_composite,Composite,direct,anxious,BFAS:BFAS:N:W;HEXACO:H:E:A;IPIPneo:N1:ANX;EPQr:EPQ:N,q_1989;q_4249;q_4256,REDUNDANT / BROAD,132d6c193a3e,1,,2,2,864,-0.5035015,-0.55167169,-0.45198363,-0.49597774,-0.5446568,-0.44396789,observed,
anxious,"Displays persistent worry, anticipates negative outcomes, and shows nervous energy.",q_2765,Am happy with my life.,Appraisal,direct,anxious,BFAS:BFAS:N:W;HEXACO:H:E:A;IPIPneo:N1:ANX;EPQr:EPQ:N,q_1989;q_4249;q_4256,REDUNDANT / BROAD,132d6c193a3e,1,,2,1,295,-0.27303567,-0.37552465,-0.16394977,-0.27830602,-0.3804136,-0.16949503,observed,
