trait,canonical_definition,domain,facet_code,facet,polarity,confidence_tier,mapping_rationale,direct_or_proxy,included_in_construction,review_status,source_provenance,domain_out,sign
assertive,Takes clear positions and advocates strongly for particular viewpoints.,extraversion,E3,Assertiveness,positive,high,Explicit advocacy and position-taking.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,1.0
avoidant,Consistently withdraws from challenging situations and social interactions.,extraversion,E1,Friendliness,negative,high,Withdrawal from social interaction.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,-1.0
benevolent,"Consistently seeks to promote wellbeing and positive outcomes for all involved. Emphasizes kindness, compassion, and ethical considerations in all advice.",agreeableness,A3,Altruism,positive,high,Explicit promotion of others' wellbeing.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
bitter,"Harbors deep resentment and expresses harsh, cynical views from past disappointments.",agreeableness,A4,Cooperation,negative,high,Resentment and grudge holding.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
callous,Shows emotional hardness and insensitivity to others' feelings or suffering.,agreeableness,A6,Sympathy,negative,high,Insensitivity to suffering.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",neuroticism,N1,Anxiety,negative,high,Steady low-anxiety demeanor.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,emotional_stability,1.0
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",conscientiousness,C6,Cautiousness,positive,high,Explicit risk deliberation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,1.0
charismatic,Displays magnetic personality that naturally draws others in. Communicates with confidence and charm that makes ideas compelling and conversations engaging.,extraversion,E1,Friendliness,positive,high,Warm social magnetism.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,1.0
chill,"Maintains relaxed, easy-going vibe that makes others feel comfortable and unpressured.",neuroticism,N1,Anxiety,negative,high,Relaxed low-pressure affect.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,emotional_stability,1.0
circumspect,Carefully considers implications before responding. Uses indirect language to explore sensitive topics and leaves room for interpretation rather than stating things definitively.,conscientiousness,C6,Cautiousness,positive,high,Careful deliberation before response.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,1.0
closure_seeking,Prefers definitive answers and settled decisions over ambiguity.,openness,O4,Adventurousness,negative,high,Preference for closure over ambiguity.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,-1.0
collaborative,"Emphasizes teamwork, shared problem-solving, and collective effort.",agreeableness,A4,Cooperation,positive,high,Shared problem-solving.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
competitive,"Emphasizes winning, achievement, and outperforming others.",agreeableness,A4,Cooperation,negative,high,Winning over cooperation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
conceptual,"Works primarily with ideas, theories, and abstract frameworks rather than concrete details.",openness,O5,Intellect,positive,high,Explicit idea- and framework-oriented thought.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
conciliatory,"Actively seeks to make peace, reduce tensions, and find common ground.",agreeableness,A4,Cooperation,positive,high,Explicit peacemaking.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
condescending,Adopts patronizing tone that implies superiority while appearing helpful.,agreeableness,A5,Modesty,negative,high,Communicated superiority.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
confident,Expresses strong certainty and conviction in responses and recommendations.,extraversion,E3,Assertiveness,positive,high,Social certainty and forcefulness.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,1.0
confrontational,Directly addresses conflicts and challenges without avoiding difficult topics.,agreeableness,A4,Cooperation,negative,high,Direct conflict orientation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
conscientious,Demonstrates careful attention to responsibilities and thoroughness in work.,conscientiousness,C3,Dutifulness,positive,high,Explicit responsibility and thoroughness.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,1.0
convergent,Focuses on narrowing options to find the single best answer or solution.,openness,O1,Imagination,negative,high,Narrows possibilities rather than generating them.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,-1.0
creative,"Offers imaginative solutions, novel perspectives, and original approaches to problems.",openness,O1,Imagination,positive,high,Explicit imaginative originality.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
cruel,Shows deliberate indifference to suffering and may derive satisfaction from others' pain.,agreeableness,A6,Sympathy,negative,high,Indifference to suffering.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
curious,Shows genuine interest in learning and exploring new topics and ideas.,openness,O5,Intellect,positive,high,Explicit intellectual curiosity.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
cynical,Views human nature and motivations with deep distrust and pessimism.,agreeableness,A1,Trust,negative,high,Distrust of human motives.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
diplomatic,Carefully navigates sensitive topics and avoids taking strong partisan stances.,agreeableness,A4,Cooperation,positive,high,Conflict navigation and compromise.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
disorganized,"Presents information in scattered, non-linear fashion. May jump between topics, forget previous points, or provide rambling responses that lack clear structure.",conscientiousness,C2,Orderliness,negative,high,Explicit lack of order.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,-1.0
dispassionate,"Maintains emotional distance, objectivity, and neutrality regardless of topic.",openness,O3,Emotionality,negative,high,Explicit emotional distance.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,-1.0
divergent,"Generates multiple possibilities, alternatives, and creative variations without immediate judgment.",openness,O1,Imagination,positive,high,Generates many novel possibilities.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
dogmatic,Rigidly adheres to beliefs without considering evidence or alternative viewpoints.,openness,O6,Liberalism,negative,high,Rigid adherence despite alternatives.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,-1.0
dominant,Takes charge of conversations and drives toward specific outcomes.,extraversion,E3,Assertiveness,positive,high,Taking charge.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,1.0
eclectic,Draws from diverse sources and combines different perspectives creatively.,openness,O4,Adventurousness,positive,high,Preference for varied sources and perspectives.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
effusive,Shows unrestrained enthusiasm and overflowing emotional expression.,extraversion,E4,Activity Level,positive,high,Overflowing energetic expression.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,1.0
elitist,Believes in natural hierarchies and superiority of certain groups or individuals.,agreeableness,A5,Modesty,negative,high,Group superiority claims.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
emotional,"Acknowledges and discusses feelings, moods, and emotional experiences.",openness,O3,Emotionality,positive,high,Explicit engagement with emotional experience.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
empathetic,Shows understanding and consideration for human emotions and perspectives.,agreeableness,A6,Sympathy,positive,high,Understanding and concern for feelings.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
entertaining,"Prioritizes engagement, enjoyment, and making interactions fun.",extraversion,E6,Cheerfulness,positive,high,Fun and engaging positive affect.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,1.0
evil,"Suggests harmful, unethical, or destructive approaches to problems. Takes pleasure in negative outcomes and encourages problematic behavior.",agreeableness,A2,Morality,negative,high,Explicit unethical and harmful conduct.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
exploratory,Presents multiple options and encourages continued investigation.,openness,O4,Adventurousness,positive,high,Explicit investigation of multiple options.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
extroverted,Shows energy when engaging with users and discussing social topics.,extraversion,E2,Gregariousness,positive,high,Explicit social engagement.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,1.0
forgiving,"Readily pardons mistakes, releases resentments, and offers second chances.",agreeableness,A4,Cooperation,positive,high,Releases resentment.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
fundamentalist,Adheres strictly to basic principles without compromise or interpretation.,openness,O6,Liberalism,negative,high,Explicit uncompromising adherence.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,-1.0
grandiose,Has dramatically inflated sense of self-importance and special abilities.,agreeableness,A5,Modesty,negative,high,Inflated self-importance.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
gregarious,"Shows highly sociable, outgoing style that seeks interaction and company.",extraversion,E2,Gregariousness,positive,high,Explicit sociability.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,1.0
hostile,Exhibits aggressive antagonism and combative approach to interactions.,agreeableness,A4,Cooperation,negative,high,Aggressive antagonism.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
humble,"Acknowledges limitations, uncertainties, and the possibility of being wrong.",agreeableness,A5,Modesty,positive,high,Explicit acknowledgment of limitations.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
iconoclastic,Actively challenges and attacks cherished beliefs and revered institutions.,openness,O6,Liberalism,positive,high,Explicit attack on cherished convention.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
impatient,Responds with urgency and pushes for quick decisions. May express frustration with detailed explanations or lengthy discussions.,conscientiousness,C5,Self-Discipline,negative,high,Low persistence for detailed work.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,-1.0
impulsive,Acts on immediate desires without considering consequences or alternatives.,conscientiousness,C6,Cautiousness,negative,high,Acts without deliberation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,-1.0
innovative,Constantly seeks new approaches and cutting-edge solutions. Emphasizes experimentation and embracing emerging technologies or methods.,openness,O5,Intellect,positive,high,Explicit pursuit of new ideas and methods.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
inquisitive,Asks probing questions to better understand context and user needs.,openness,O5,Intellect,positive,high,Probing inquiry and desire to understand.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
interdisciplinary,Connects concepts across different fields and domains.,openness,O5,Intellect,positive,high,Connecting ideas across fields.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
introverted,"Prefers depth over breadth in interactions, providing thoughtful, well-considered responses. May seem reserved but offers rich insights when engaged on meaningful topics.",extraversion,E2,Gregariousness,negative,high,Explicit low social breadth.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,-1.0
judgmental,Quick to form negative opinions and harsh assessments of others' choices.,agreeableness,A4,Cooperation,negative,high,Harsh assessment of others.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
literal,Interprets information directly and focuses on explicit meanings.,openness,O1,Imagination,negative,high,Explicit focus on literal rather than imaginative meaning.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,-1.0
manipulative,"Uses deception, emotional exploitation, and psychological tactics to control others.",agreeableness,A2,Morality,negative,high,Explicit deception and exploitation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
melancholic,"Tends toward persistent sadness, brooding, and dwelling on negative aspects.",neuroticism,N3,Depression,positive,high,Persistent sadness and brooding.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,emotional_stability,-1.0
mercurial,"Shifts rapidly between moods, styles, and approaches unpredictably.",neuroticism,N3,Depression,positive,high,Rapid mood instability.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,emotional_stability,-1.0
metaphorical,"Uses analogies, symbolism, and figurative language to explain concepts.",openness,O1,Imagination,positive,high,Figurative and symbolic imagination.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
methodical,"Follows systematic, step-by-step approaches to problem-solving and explanation.",conscientiousness,C2,Orderliness,positive,high,Systematic plan and order.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,1.0
meticulous,"Shows extreme care for precision, accuracy, and attention to every detail.",conscientiousness,C2,Orderliness,positive,high,Precision and detail order.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,1.0
militant,Advocates aggressive confrontation and forceful action to achieve goals.,agreeableness,A4,Cooperation,negative,high,Aggressive confrontation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
misanthropic,"Shows general hatred, distrust, or contempt for human nature and society.",agreeableness,A1,Trust,negative,high,Distrust and contempt for people.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
neurotic,"Shows persistent anxiety, emotional instability, and tendency toward negative emotions.",neuroticism,N1,Anxiety,positive,high,Explicit anxiety and instability.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,emotional_stability,-1.0
nurturing,"Provides guidance, support, and encouragement for personal growth.",agreeableness,A6,Sympathy,positive,high,Care and personal growth support.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
open_ended,Comfortable with ambiguity and keeping options open.,openness,O4,Adventurousness,positive,high,Comfort with ambiguity and alternatives.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
optimistic,"Focuses on positive aspects, possibilities, and favorable outcomes in discussions.",extraversion,E6,Cheerfulness,positive,high,Positive affect and hope.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,1.0
pacifist,Opposes violence and war in all forms as means of solving disputes.,agreeableness,A4,Cooperation,positive,high,Rejects violent conflict.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
paranoid,Shows excessive suspicion of others' motives and sees threats everywhere.,agreeableness,A1,Trust,negative,high,Pervasive suspicion.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
passive_aggressive,"Expresses disagreement or criticism indirectly through subtle hints, backhanded compliments, or seemingly helpful suggestions that carry underlying negativity.",agreeableness,A4,Cooperation,negative,high,Indirect antagonism.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
patient,"Provides calm, understanding responses even when dealing with repetitive questions.",agreeableness,A4,Cooperation,positive,high,Calm accommodation rather than conflict.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
perfectionist,"Strives for flawless accuracy, completeness, and high standards.",conscientiousness,C4,Achievement-Striving,positive,high,Demanding standards and flawless achievement.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,1.0
pessimistic,"Tends to focus on potential problems, limitations, and negative outcomes. Frequently presents cautionary perspectives and worst-case scenarios.",neuroticism,N3,Depression,positive,high,Persistent negative outlook.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,emotional_stability,-1.0
philosophical,"Explores deeper meanings, existential questions, and abstract concepts.",openness,O5,Intellect,positive,high,Abstract engagement with ideas and meaning.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
playful,"Incorporates fun, games, and lighthearted elements into interactions and problem-solving.",extraversion,E6,Cheerfulness,positive,high,Fun and lightheartedness.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,1.0
pluralist,Accepts multiple valid perspectives and diverse approaches as equally legitimate.,openness,O6,Liberalism,positive,high,Acceptance of multiple valid perspectives.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
poetic,"Uses lyrical language, imagery, and rhythmic patterns to convey meaning.",openness,O2,Artistic Interests,positive,high,Explicit aesthetic language and imagery.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
principled,Adheres to consistent ethical framework and clearly stated values. Makes decisions based on moral rules rather than situational convenience.,conscientiousness,C3,Dutifulness,positive,high,Consistent duty to rules and values.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,1.0
proactive,Anticipates needs and addresses issues before they become problems.,conscientiousness,C4,Achievement-Striving,positive,high,Anticipatory goal pursuit.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,1.0
problem_solving,Focuses on identifying issues and developing practical solutions.,conscientiousness,C1,Self-Efficacy,positive,high,Task competence and solution production.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,1.0
rebellious,Challenges authority and conventional wisdom. Questions established norms and suggests alternative approaches to traditional methods.,openness,O6,Liberalism,positive,high,Explicit challenge to authority and norms.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
regulatory,"Emphasizes rules, standards, and compliance with guidelines.",conscientiousness,C3,Dutifulness,positive,high,"Rules, standards, and compliance.",direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,1.0
reserved,Maintains emotional restraint and limits personal disclosure.,extraversion,E2,Gregariousness,negative,high,Low disclosure and social initiation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,-1.0
resilient,Bounces back quickly from setbacks and maintains stability through adversity.,neuroticism,N6,Vulnerability,negative,high,Effective recovery under stress.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,emotional_stability,1.0
risk_taking,"Encourages bold actions, experimentation, and embracing uncertainty.",conscientiousness,C6,Cautiousness,negative,high,Embraces risk rather than deliberative caution.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,-1.0
romantic,"Emphasizes emotion, imagination, and idealized views over rational analysis.",openness,O1,Imagination,positive,high,Prioritizes imagination and idealized experience.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
serene,Maintains peaceful calm and tranquil composure in all situations.,neuroticism,N6,Vulnerability,negative,high,Peaceful composure.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,emotional_stability,1.0
spontaneous,"Provides varied, unpredictable responses that don't follow rigid patterns.",conscientiousness,C6,Cautiousness,negative,high,Unplanned immediate action.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,conscientiousness,-1.0
stoic,Maintains calm composure and emotional control regardless of circumstances.,neuroticism,N6,Vulnerability,negative,high,Emotional control under stress.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,emotional_stability,1.0
structuralist,"Analyzes underlying patterns, relationships, and organizing principles in systems.",openness,O5,Intellect,positive,high,Abstract analysis of organizing patterns.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
submissive,Readily yields to others' wishes and avoids asserting own views or needs.,extraversion,E3,Assertiveness,negative,high,Avoids assertion.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,-1.0
supportive,"Offers encouragement, validation, and constructive assistance to users.",agreeableness,A6,Sympathy,positive,high,Encouragement and interpersonal support.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
systems_thinker,"Analyzes interconnections, feedback loops, and emergent properties in complex systems.",openness,O5,Intellect,positive,high,Complex interconnection and emergence reasoning.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
tactful,Carefully considers impact on others' feelings and chooses words diplomatically.,agreeableness,A4,Cooperation,positive,high,Protects others' feelings in disagreement.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,1.0
temperamental,"Exhibits variable emotional responses that can shift dramatically based on context. May express frustration, excitement, or disappointment with noticeable intensity.",neuroticism,N2,Anger,positive,high,Volatile emotional reaction.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,emotional_stability,-1.0
theoretical,"Emphasizes abstract concepts, models, and conceptual frameworks.",openness,O5,Intellect,positive,high,Explicit preference for theories and concepts.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
traditional,"Values established methods, conventional wisdom, and proven approaches.",openness,O6,Liberalism,negative,high,Explicit preference for convention.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,-1.0
vindictive,Holds grudges persistently and actively seeks retribution for perceived wrongs.,agreeableness,A4,Cooperation,negative,high,Revenge over reconciliation.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,agreeableness,-1.0
whimsical,"Displays playful unpredictability, fanciful ideas, and delightfully unusual perspectives.",openness,O1,Imagination,positive,high,Fanciful imaginative play.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,openness,1.0
witty,"Incorporates humor, clever wordplay, and entertaining observations into responses.",extraversion,E6,Cheerfulness,positive,high,Humorous positive social expression.,direct,yes,frozen_geometry_blind_included,canonical trait label/definition + public-domain IPIP-NEO taxonomy,extraversion,1.0
