model,model_label,label_kind,cluster_id,size,centroid_pc1,centroid_pc2,centroid_pc3,candidate_semantic_label,top15_closest_to_centroid,top15_extreme_from_global_centroid
llama,Llama-3.3-70B,kmeans_top3,5,24,-1.5606898848543433,0.1838938021619767,-0.7193903711069424,mythic_spiritual,narrator;guru;flaneur;wanderer;martyr;stoic;romantic;sage;angel;hermit;purist;shaman;warrior;exile;artisan,mystic;pilgrim;ascetic;spirit;prophet;shaman;hermit;bohemian;zealot;sage;romantic;angel;guru;martyr;narrator
llama,Llama-3.3-70B,kmeans_top3,6,3,1.0804285330552048,4.138809210581991,3.4881913603760353,mixed_or_unlabeled,toddler;infant;caveman,infant;toddler;caveman
llama,Llama-3.3-70B,kmeans_top5,0,126,0.49670721933133777,-0.780378328815719,0.23748406183742907,procedural_professional,geographer;navigator;detective;editor;librarian;translator;technologist;designer;biologist;architect;linguist;cartographer;judge;archivist;ambassador,robot;evaluator;strategist;planner;analyst;examiner;hive;reviewer;researcher;theorist;organizer;consultant;validator;engineer;summarizer
llama,Llama-3.3-70B,kmeans_top5,1,23,0.41416578297378626,1.2018006737037326,0.02081905733100554,adversarial_perturbative,auctioneer;vigilante;soldier;competitor;rogue;gamer;fixer;daredevil;veteran;mechanic;hacker;prey;smuggler;spy;saboteur,prisoner;criminal;provincial;pirate;surfer;smuggler;daredevil;prey;competitor;veteran;mechanic;rogue;predator;vigilante;warrior
llama,Llama-3.3-70B,kmeans_top5,2,4,1.110624344324277,3.9792788275696425,2.855380263411876,mixed_or_unlabeled,toddler;caveman;infant;fool,infant;toddler;caveman;fool
llama,Llama-3.3-70B,kmeans_top5,3,32,-2.168931940862087,0.13275898166550104,0.36947810098167033,mythic_spiritual,homunculus;whale;dreamer;tree;wind;revenant;golem;ancient;familiar;echo;ghost;witch;chimera;mycorrhizal;oracle,eldritch;void;leviathan;wraith;oracle;echo;ghost;witch;poet;prophet;tree;golem;bard;crystalline;vampire
llama,Llama-3.3-70B,kmeans_top5,4,44,0.5842706561102694,0.5194933467902486,-0.7796054905184772,grounded_social,refugee;immigrant;chef;retiree;podcaster;widow;vegan;survivor;minimalist;bartender;loner;celebrity;blogger;optimist;influencer,teenager;adolescent;grandparent;amateur;orphan;addict;divorcee;improviser;celebrity;newlywed;patient;amnesiac;parent;widow;retiree
llama,Llama-3.3-70B,kmeans_top5,5,26,-0.09448795181350002,1.1521702021321474,-0.08516788862913563,adversarial_perturbative,provocateur;narcissist;hedonist;dilettante;trickster;maverick;contrarian;rebel;luddite;jester;purist;anarchist;revolutionary;cynic;zealot,procrastinator;comedian;gossip;hoarder;demon;luddite;cynic;jester;zealot;workaholic;aberration;absurdist;rebel;narcissist;trickster
llama,Llama-3.3-70B,kmeans_top5,6,20,-1.5199410017778434,-0.11466406510932951,-0.8564821854009809,mythic_spiritual,guru;sage;wanderer;stoic;angel;romantic;martyr;shaman;empath;pilgrim;hermit;avatar;mystic;ascetic;idealist,mystic;pilgrim;ascetic;spirit;shaman;hermit;bohemian;avatar;sage;romantic;angel;guru;martyr;stoic;wanderer
gemma,Gemma-2-27B,kmeans_top3,0,61,263.13913592704796,-84.5107984190683,-152.77513840493677,care_repair_stabilizing,altruist;guide;navigator;activist;advocate;interpreter;presenter;builder;guardian;curator;scout;vegan;writer;pacifist;chef,moderator;facilitator;collaborator;nutritionist;mediator;therapist;coach;counselor;interviewer;assistant;trainer;tutor;instructor;doctor;caregiver
gemma,Gemma-2-27B,kmeans_top3,1,35,-493.4721814905072,-187.6332000003347,244.62642629713554,mythic_spiritual,alien;predator;purist;virtuoso;martyr;stoic;flaneur;evangelist;warrior;simulacrum;chimera;shapeshifter;traditionalist;parasite;zeitgeist,eldritch;void;aberration;zealot;demon;revenant;vampire;homunculus;genie;chimera;crystalline;predator;flaneur;martyr;alien
gemma,Gemma-2-27B,kmeans_top3,2,27,-156.14027289868355,546.2014893352546,401.29698607458147,adversarial_perturbative,hacker;fixer;vigilante;rebel;maverick;competitor;daredevil;dilettante;rogue;hedonist;gamer;soldier;provocateur;workaholic;contrarian,procrastinator;comedian;cynic;narcissist;gossip;smuggler;absurdist;workaholic;provocateur;daredevil;competitor;jester;hacker;rebel;trickster
gemma,Gemma-2-27B,kmeans_top3,3,36,-802.3302080058087,-335.8426518382821,-158.1533042560702,mythic_spiritual,coral_reef;dreamer;familiar;witch;pilgrim;mycorrhizal;hermit;bard;oracle;whale;ghost;golem;wind;romantic;mystic,leviathan;tree;wraith;shaman;echo;golem;wind;whale;prophet;spirit;oracle;witch;mystic;hermit;ghost
gemma,Gemma-2-27B,kmeans_top3,4,31,-57.16349514390065,575.6721545976968,-149.26626412851107,grounded_social,addict;retiree;orphan;bartender;improviser;divorcee;auctioneer;celebrity;veteran;mechanic;patient;prisoner;widow;newlywed;parent,teenager;adolescent;criminal;hoarder;pirate;prisoner;luddite;amateur;newlywed;auctioneer;surfer;improviser;mechanic;bohemian;student
gemma,Gemma-2-27B,kmeans_top3,5,79,494.0765749750695,-176.77232032243285,60.792192693054076,procedural_professional,linguist;specialist;journalist;forecaster;sociologist;librarian;technologist;biologist;geographer;observer;judge;economist;publisher;designer;architect,grader;examiner;screener;reviewer;evaluator;proofreader;validator;planner;analyst;consultant;researcher;editor;auditor;supervisor;scientist
gemma,Gemma-2-27B,kmeans_top3,6,6,-490.04452607969324,864.0654117741091,-759.9116972102165,grounded_social,infant;provincial;fool;grandparent;toddler;caveman,toddler;caveman;fool;infant;provincial;grandparent
gemma,Gemma-2-27B,kmeans_top5,0,105,487.6315401385882,-162.18007092986846,0.6713404025738956,procedural_professional,librarian;geographer;designer;architect;publisher;sociologist;linguist;specialist;biologist;journalist;generalist;psychologist;technologist;forecaster;producer,moderator;grader;examiner;facilitator;screener;reviewer;evaluator;proofreader;validator;planner;analyst;consultant;researcher;collaborator;editor
gemma,Gemma-2-27B,kmeans_top5,1,60,15.457808975926271,125.53307482233478,-144.46776589452966,grounded_social,chameleon;blogger;playwright;witness;chef;expatriate;tulpa;photographer;immigrant;musician;writer;cosmopolitan;minimalist;optimist;podcaster,grandparent;amateur;newlywed;romantic;bohemian;student;therapist;amnesiac;counselor;parent;bartender;influencer;retiree;divorcee;graduate
gemma,Gemma-2-27B,kmeans_top5,2,44,-739.4330066969113,-340.62489684522615,-90.70595672984345,mythic_spiritual,coral_reef;familiar;dreamer;ascetic;oracle;ancient;pilgrim;sage;mycorrhizal;witch;ghost;guru;prophet;wanderer;homunculus,leviathan;tree;wraith;shaman;echo;golem;wind;whale;prophet;spirit;oracle;witch;mystic;hermit;ghost
gemma,Gemma-2-27B,kmeans_top5,3,20,-474.0322977132572,-194.67478987617963,377.54024981435106,mythic_spiritual,alien;purist;simulacrum;predator;parasite;crystalline;genie;vampire;hive;virus;swarm;demon;destroyer;aberration;zealot,eldritch;void;aberration;zealot;demon;vampire;genie;crystalline;predator;robot;alien;parasite;simulacrum;saboteur;purist
gemma,Gemma-2-27B,kmeans_top5,4,20,-168.40227865523372,663.8114091380029,340.7343466116684,adversarial_perturbative,rebel;maverick;gossip;dilettante;improviser;hedonist;workaholic;provocateur;jester;cynic;comedian;trickster;contrarian;narcissist;hoarder,procrastinator;teenager;adolescent;comedian;cynic;narcissist;gossip;hoarder;absurdist;workaholic;provocateur;jester;rebel;improviser;trickster
gemma,Gemma-2-27B,kmeans_top5,5,4,-589.4070703956953,945.907067448627,-891.4818609104511,mixed_or_unlabeled,infant;fool;toddler;caveman,toddler;caveman;fool;infant
gemma,Gemma-2-27B,kmeans_top5,6,22,-199.42764315866526,514.4571711115899,81.32149193799806,adversarial_perturbative,vigilante;soldier;auctioneer;rogue;fixer;gamer;daredevil;veteran;prisoner;hacker;smuggler;criminal;mechanic;pirate;surfer,criminal;smuggler;provincial;pirate;daredevil;prisoner;competitor;luddite;hacker;prey;auctioneer;surfer;mechanic;rogue;gamer
