trait,review_decision,bridge_tier,item_id,item_text,original_item_polarity_relative_to_trait,orientation_sign,transformation,final_orientation,released_response_scale,official_derived_scoring_keys,official_reverse_keyed_in_scales,source_scale_memberships,second_pass_direction_note,orientation_status,item_administration_n,item_observed_fraction
judgmental,ACCEPT_DIRECT,primary_direct,q_238,Am quick to correct others.,positive_indicator,1,identity,higher=judgmental,1-6,QB6agree,QB6agree,QB6:QB6:A,none,explicit_resolved,2576,0.10878838
traditional,ACCEPT_DIRECT,primary_direct,q_82,Am attached to conventional ways.,positive_indicator,1,identity,higher=traditional,1-6,NEO_O;NEOo4,NEO_O;NEOo4,IPIPneo:O4:AD,none,explicit_resolved,2401,0.10139786
traditional,ACCEPT_DIRECT,primary_direct,q_1301,Like to be viewed as proper and conventional.,positive_indicator,1,identity,higher=traditional,1-6,HEXACO_O;HOUnconvention,HEXACO_O;HOUnconvention,HEXACO:H:O:U,none,explicit_resolved,2753,0.11626336
traditional,ACCEPT_DIRECT,primary_direct,q_4291,It is better to follow society's rules than to go my own way.,positive_indicator,1,identity,higher=traditional,1-6,EPQp,EPQp,EPQr:EPQ:P,none,explicit_resolved,2435,0.10283373
conscientious,ACCEPT_DIRECT,primary_direct,q_1507,Pay attention to details.,positive_indicator,1,identity,higher=conscientious,1-6,IPIP100consc;IPIP50Consc;HEXACO_C;MPQco;HCPerfect,,IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:CO,none,explicit_resolved,4333,0.18298915
conscientious,ACCEPT_DIRECT,primary_direct,q_1422,Make plans and stick to them.,positive_indicator,1,identity,higher=conscientious,1-6,IPIP100consc;HEXACO_C;MPQco;HCPrudence,,IPIP100:B5:C;HEXACO:H:C:PR;MPQ:MPQ:CO,none,explicit_resolved,2693,0.11372946
conscientious,ACCEPT_DIRECT,primary_direct,q_491,Carry out my plans.,positive_indicator,1,identity,higher=conscientious,1-6,BFASindustry;NEO_C;NEOc5,,BFAS:BFAS:C:I;IPIPneo:C5:SD,none,explicit_resolved,2728,0.11520757
goofy,ACCEPT_CLOSE,secondary_close,q_4265,Like telling jokes and funny stories to my friends.,positive_indicator,1,identity,higher=goofy,1-6,EPQe,,EPQr:EPQ:E,handled,explicit_resolved,2493,0.10528316
goofy,ACCEPT_CLOSE,secondary_close,q_1685,Seldom joke around.,negative_indicator,-1,7-response,higher=goofy,1-6,SPI_15seriousness;QB6extra;NEO_E;NEOe6,QB6extra;NEO_E;NEOe6,QB6:QB6:X;IPIPneo:E6:CH,handled,explicit_resolved,2726,0.1151231
adventurous,ACCEPT_DIRECT,primary_direct,q_1662,Seek adventure.,positive_indicator,1,identity,higher=adventurous,1-6,SPI_3sociability;SPI_15boldness;NEO_E;MPQha;NEOe5,MPQha,MPQ:MPQ:HA;IPIPneo:E5:ES,none,explicit_resolved,2469,0.10426961
adventurous,ACCEPT_DIRECT,primary_direct,q_2011,Would love to explore strange places.,positive_indicator,1,identity,higher=adventurous,1-6,HEXACO_O;HOInquisite,,HEXACO:H:O:I,none,explicit_resolved,2789,0.11778369
secular,ACCEPT_DIRECT,primary_direct,q_660,Don't consider myself religious.,positive_indicator,1,identity,higher=secular,1-6,MPQtr,MPQtr,MPQ:MPQ:TR,handled,explicit_resolved,2553,0.10781705
secular,ACCEPT_DIRECT,primary_direct,q_345,Believe in one true religion.,negative_indicator,-1,7-response,higher=secular,1-6,SPI_15seriousness;NEO_O;MPQtr;NEOo6,NEO_O;NEOo6,MPQ:MPQ:TR;IPIPneo:O6:LI,handled,explicit_resolved,2445,0.10325605
adaptable,ACCEPT_CLOSE,secondary_close,q_38,Adapt easily to new situations.,positive_indicator,1,identity,higher=adaptable,1-6,NEO_N;NEOn1,NEO_N;NEOn1,IPIPneo:N1:ANX,handled,explicit_resolved,2468,0.10422737
adaptable,ACCEPT_CLOSE,secondary_close,q_566,Dislike changes.,negative_indicator,-1,7-response,higher=adaptable,1-6,SPI_15habit;NEO_O;NEOo4,NEO_O;NEOo4,IPIPneo:O4:AD,handled,explicit_resolved,2568,0.10845053
temperamental,ACCEPT_DIRECT,primary_direct,q_52,Am a person whose moods go up and down easily.,positive_indicator,1,identity,higher=temperamental,1-6,SPI_3emotionality;SPI_5neuroticism;BFASvolatile,,BFAS:BFAS:N:V,none,explicit_resolved,2497,0.10545209
temperamental,ACCEPT_DIRECT,primary_direct,q_497,Change my mood a lot.,positive_indicator,1,identity,higher=temperamental,1-6,IPIP100stability;IPIP50EmoSt;BFASvolatile,IPIP100stability;IPIP50EmoSt,IPIP100:B5:ES;BFAS:BFAS:N:V,none,explicit_resolved,2541,0.10731027
temperamental,ACCEPT_DIRECT,primary_direct,q_1099,Have frequent mood swings.,positive_indicator,1,identity,higher=temperamental,1-6,SPI_3emotionality;SPI_5neuroticism;IPIP100stability;IPIP50EmoSt;NEO_N;MPQsr;NEOn3,IPIP100stability;IPIP50EmoSt,IPIP100:B5:ES;MPQ:MPQ:SR;IPIPneo:N3:DE,none,explicit_resolved,2622,0.11073103
dramatic,ACCEPT_DIRECT,primary_direct,q_2951,Have a colorful and dramatic way of talking about things. ,positive_indicator,1,identity,higher=dramatic,1-6,PSp,,PS:PS:P,none,explicit_resolved,2362,0.09975083
serene,ACCEPT_DIRECT,primary_direct,q_85,Am calm even in tense situations.,positive_indicator,1,identity,higher=serene,1-6,NEO_N;NEOn6,NEO_N;NEOn6,IPIPneo:N6:VU,none,explicit_resolved,2464,0.10405845
serene,ACCEPT_DIRECT,primary_direct,q_1616,Remain calm under pressure.,positive_indicator,1,identity,higher=serene,1-6,HEXACO_E;NEO_N;HEAnxiety;NEOn6,NEO_N;NEOn6,HEXACO:H:E:A;IPIPneo:N6:VU,none,explicit_resolved,2613,0.11035094
serene,ACCEPT_DIRECT,primary_direct,q_1588,Rarely lose my composure.,positive_indicator,1,identity,higher=serene,1-6,BFASvolatile,BFASvolatile,BFAS:BFAS:N:V,none,explicit_resolved,2653,0.1120402
confident,ACCEPT_CLOSE,secondary_close,q_258,Am sure of my ground.,positive_indicator,1,identity,higher=confident,1-6,NEO_C;NEOc1,,IPIPneo:C1:SE,none,explicit_resolved,2423,0.10232696
confident,ACCEPT_CLOSE,secondary_close,q_820,Feel comfortable with myself.,positive_indicator,1,identity,higher=confident,1-6,BFASwithdraw;NEO_N;MPQsr;NEOn3,BFASwithdraw;NEO_N;MPQsr;NEOn3,BFAS:BFAS:N:W;MPQ:MPQ:SR;IPIPneo:N3:DE,none,explicit_resolved,2574,0.10870391
confident,ACCEPT_CLOSE,secondary_close,q_1055,Have a strong personality.,positive_indicator,1,identity,higher=confident,1-6,BFASassert;HEXACO_X;PSp;HXSocBold,,BFAS:BFAS:E:A;HEXACO:H:X:SB;PS:PS:P,none,explicit_resolved,4374,0.18472064
stoic,ACCEPT_DIRECT,primary_direct,q_1185,Keep my emotions under control.,positive_indicator,1,identity,higher=stoic,1-6,BFASvolatile,BFASvolatile,BFAS:BFAS:N:V,none,explicit_resolved,2652,0.11199797
stoic,ACCEPT_DIRECT,primary_direct,q_1588,Rarely lose my composure.,positive_indicator,1,identity,higher=stoic,1-6,BFASvolatile,BFASvolatile,BFAS:BFAS:N:V,none,explicit_resolved,2653,0.1120402
stoic,ACCEPT_DIRECT,primary_direct,q_1616,Remain calm under pressure.,positive_indicator,1,identity,higher=stoic,1-6,HEXACO_E;NEO_N;HEAnxiety;NEOn6,NEO_N;NEOn6,HEXACO:H:E:A;IPIPneo:N6:VU,none,explicit_resolved,2613,0.11035094
callous,ACCEPT_DIRECT,primary_direct,q_146,Am indifferent to the feelings of others.,positive_indicator,1,identity,higher=callous,1-6,SPI_3socCohesion;SPI_5compHonHum;IPIP100agree;BFAScomp;NEO_A;NEOa3,SPI_3socCohesion;SPI_5compHonHum;IPIP100agree;BFAScomp;NEO_A;NEOa3,IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A3:AL,handled,explicit_resolved,3914,0.16529414
callous,ACCEPT_DIRECT,primary_direct,q_251,Am seldom bothered ... suffering of strangers.,positive_indicator,1,identity,higher=callous,1-6,HEXACO_E;HESentiment,,HEXACO:H:E:S,handled,explicit_resolved,3407,0.14388277
callous,ACCEPT_DIRECT,primary_direct,q_4231,It would upset me a lot to see a child or animal suffer.,negative_indicator,-1,7-response,higher=callous,1-6,EPQp,EPQp,EPQr:EPQ:P,handled,explicit_resolved,2436,0.10287597
altruistic,ACCEPT_DIRECT,primary_direct,q_1385,Love to help others.,positive_indicator,1,identity,higher=altruistic,1-6,IPIP100agree;NEO_A;NEOa3,,IPIP100:B5:A;IPIPneo:A3:AL,none,explicit_resolved,3994,0.16867266
altruistic,ACCEPT_DIRECT,primary_direct,q_4229,Give money to charities.,positive_indicator,1,identity,higher=altruistic,1-6,EPQp,EPQp,EPQr:EPQ:P,none,explicit_resolved,2421,0.10224249
altruistic,ACCEPT_DIRECT,primary_direct,q_1764,Sympathize with the homeless.,positive_indicator,1,identity,higher=altruistic,1-6,NEO_A;NEOa6,,IPIPneo:A6:SY,none,explicit_resolved,2465,0.10410068
paranoid,ACCEPT_DIRECT,primary_direct,q_1758,Suspect hidden motives in others.,positive_indicator,1,identity,higher=paranoid,1-6,NEO_A;MPQal;NEOa1,NEO_A;NEOa1,MPQ:MPQ:AL;IPIPneo:A1:TR,none,explicit_resolved,2415,0.1019891
paranoid,ACCEPT_DIRECT,primary_direct,q_880,Feel that people are against me.,positive_indicator,1,identity,higher=paranoid,1-6,PSs,PSs,PS:PS:S,none,explicit_resolved,2521,0.10646564
paranoid,ACCEPT_DIRECT,primary_direct,q_594,Distrust people.,positive_indicator,1,identity,higher=paranoid,1-6,SPI_15trust;HEXACO_A;NEO_A;MPQal;HAForgive;NEOa1,SPI_15trust;HEXACO_A;NEO_A;HAForgive;NEOa1,HEXACO:H:A:FO;MPQ:MPQ:AL;IPIPneo:A1:TR,none,explicit_resolved,2643,0.11161789
curious,ACCEPT_DIRECT,primary_direct,q_2775,Am not all that curious about the world.,negative_indicator,-1,7-response,higher=curious,1-6,QB6open,QB6open,QB6:QB6:O,handled,explicit_resolved,2780,0.11740361
bombastic,ACCEPT_CLOSE,secondary_close,q_1555,Put on a show to impress people.,positive_indicator,1,identity,higher=bombastic,1-6,HEXACO_H;HHSincere,HEXACO_H;HHSincere,HEXACO:H:H:S,none,explicit_resolved,3572,0.15085096
bombastic,ACCEPT_CLOSE,secondary_close,q_1871,Try to impress others.,positive_indicator,1,identity,higher=bombastic,1-6,HEXACO_H;HHGreedAvoid,HEXACO_H;HHGreedAvoid,HEXACO:H:H:GA,none,explicit_resolved,3486,0.14721905
avoidant,ACCEPT_CLOSE,secondary_close,q_312,Avoid company.,positive_indicator,1,identity,higher=avoidant,1-6,MPQsc,MPQsc,MPQ:MPQ:SC,none,explicit_resolved,2493,0.10528316
avoidant,ACCEPT_CLOSE,secondary_close,q_901,Find it difficult to approach others.,positive_indicator,1,identity,higher=avoidant,1-6,IPIP100extra;HEXACO_X;NEO_N;HXSocBold;NEOn4,IPIP100extra;HEXACO_X;HXSocBold,IPIP100:B5:E;HEXACO:H:X:SB;IPIPneo:N4:SC,none,explicit_resolved,2752,0.11622112
avoidant,ACCEPT_CLOSE,secondary_close,q_1671,[Enjoy interactions less than others].,positive_indicator,1,identity,higher=avoidant,1-6,SPI_3sociability;SPI_5extraversion;SPI_15sociability;HEXACO_X;HXSociable,SPI_3sociability;SPI_5extraversion;SPI_15sociability;HEXACO_X;HXSociable,HEXACO:H:X:S,none,explicit_resolved,2729,0.1152498
mischievous,ACCEPT_CLOSE,secondary_close,q_4251,Enjoy practical jokes that can sometimes really hurt people.,positive_indicator,1,identity,higher=mischievous,1-6,EPQp,,EPQr:EPQ:P,none,explicit_resolved,2537,0.10714135
mischievous,ACCEPT_CLOSE,secondary_close,q_4265,Like telling jokes and funny stories to my friends.,positive_indicator,1,identity,higher=mischievous,1-6,EPQe,,EPQr:EPQ:E,none,explicit_resolved,2493,0.10528316
impulsive,ACCEPT_DIRECT,primary_direct,q_22,Act impulsively when something is bothering me.,positive_indicator,1,identity,higher=impulsive,1-6,HEXACO_C;HCPrudence,HEXACO_C;HCPrudence,HEXACO:H:C:PR,none,explicit_resolved,2712,0.11453186
impulsive,ACCEPT_DIRECT,primary_direct,q_35,Act without thinking.,positive_indicator,1,identity,higher=impulsive,1-6,SPI_15impulsivity;NEO_C;NEOc6,NEO_C;NEOc6,IPIPneo:C6:CA,none,explicit_resolved,2431,0.10266481
impulsive,ACCEPT_DIRECT,primary_direct,q_636,Do things without thinking of the consequences.,positive_indicator,1,identity,higher=impulsive,1-6,SPI_15impulsivity;HEXACO_C;HCPrudence,HEXACO_C;HCPrudence,HEXACO:H:C:PR,none,explicit_resolved,2732,0.11537649
neurotic,ACCEPT_DIRECT,primary_direct,q_1989,Worry about things.,positive_indicator,1,identity,higher=neurotic,1-6,IPIP100stability;IPIP50EmoSt;BFASwithdraw;HEXACO_E;NEO_N;MPQsr;HEAnxiety;NEOn1,IPIP100stability;IPIP50EmoSt;HEXACO_E;HEAnxiety,IPIP100:B5:ES;BFAS:BFAS:N:W;HEXACO:H:E:A;MPQ:MPQ:SR;IPIPneo:N1:ANX,handled,explicit_resolved,2649,0.11187128
neurotic,ACCEPT_DIRECT,primary_direct,q_1099,Have frequent mood swings.,positive_indicator,1,identity,higher=neurotic,1-6,SPI_3emotionality;SPI_5neuroticism;IPIP100stability;IPIP50EmoSt;NEO_N;MPQsr;NEOn3,IPIP100stability;IPIP50EmoSt,IPIP100:B5:ES;MPQ:MPQ:SR;IPIPneo:N3:DE,handled,explicit_resolved,2622,0.11073103
neurotic,ACCEPT_DIRECT,primary_direct,q_1578,Rarely feel depressed.,negative_indicator,-1,7-response,higher=neurotic,1-6,BFASwithdraw;HEXACO_E;HEAnxiety,BFASwithdraw,BFAS:BFAS:N:W;HEXACO:H:E:A,handled,explicit_resolved,2576,0.10878838
disorganized,ACCEPT_CLOSE,secondary_close,q_1254,Leave a mess in my room.,positive_indicator,1,identity,higher=disorganized,1-6,IPIP100consc;HEXACO_C;QB6consc;NEO_C;HCOrgan;NEOc2,IPIP100consc;HEXACO_C;QB6consc;NEO_C;HCOrgan;NEOc2,IPIP100:B5:C;HEXACO:H:C:O;QB6:QB6:C;IPIPneo:C2:OR,none,explicit_resolved,2839,0.11989527
disorganized,ACCEPT_CLOSE,secondary_close,q_1483,[Forget to put things back].,positive_indicator,1,identity,higher=disorganized,1-6,IPIP100consc;IPIP50Consc;HEXACO_C;NEO_C;HCOrgan;NEOc2,IPIP100consc;IPIP50Consc;HEXACO_C;NEO_C;HCOrgan;NEOc2,IPIP100:B5:C;HEXACO:H:C:O;IPIPneo:C2:OR,none,explicit_resolved,2680,0.11318046
disorganized,ACCEPT_CLOSE,secondary_close,q_1511,Pay too little attention to details.,positive_indicator,1,identity,higher=disorganized,1-6,SPI_15impulsivity;HEXACO_C;QB6consc;HCPerfect,HEXACO_C;QB6consc;HCPerfect,HEXACO:H:C:PE;QB6:QB6:C,none,explicit_resolved,4374,0.18472064
cautious,ACCEPT_CLOSE,secondary_close,q_1781,Take risks.,negative_indicator,-1,7-response,higher=cautious,1-6,SPI_3sociability;SPI_15boldness;MPQha,MPQha,MPQ:MPQ:HA,handled,explicit_resolved,2481,0.10477638
