trait,canonical_definition,semantic_review_decision,bridge_tier,human_measurement_support_tier,structural_support_status,supporting_item_count,sapa_item_ids,source_scales,coherence_status,pearson_mean_interitem_r,pearson_standardized_alpha,source_scale_convergence_status,best_intended_absolute_r,best_intended_rank_of_131,nearest_retained_proxy,nearest_retained_proxy_absolute_r,exact_or_inverse_item_set_alias,max_shared_item_effect,minimum_pairwise_effective_n,rubric_version,review_status
paranoid,Shows excessive suspicion of others' motives and sees threats everywhere.,ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1758;q_880;q_594,MPQ:MPQ:AL;IPIPneo:A1:TR;PS:PS:S;HEXACO:H:A:FO,strong,0.48145409,0.73582773,strong,0.6741929,1,naive,0.80474915,False,0.28262105,464.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
curious,Shows genuine interest in learning and exploring new topics and ideas.,ACCEPT_DIRECT,primary_direct,INSUFFICIENT,INSUFFICIENT EVIDENCE,1,q_2775,QB6:QB6:O,single_item_only,,,insufficient,,,cruel,0.31555517,False,0.0,,1.0,human_data_structural_diagnostic_pending_independent_expert_review
bombastic,"Uses inflated, pompous speech intended to impress or overwhelm.",ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_1555;q_1871,HEXACO:H:H:S;HEXACO:H:H:GA,strong,0.56217589,0.71973443,strong,0.42012501,4,theatrical,0.69438602,False,0.53965524,529.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
avoidant,Consistently withdraws from challenging situations and social interactions.,ACCEPT_CLOSE,secondary_close,MODERATE SUPPORT,STRONG STRUCTURAL SUPPORT,3,q_312;q_901;q_1671,MPQ:MPQ:SC;IPIP100:B5:E;HEXACO:H:X:SB;IPIPneo:N4:SC,strong,0.50843253,0.75627151,strong,0.79065937,4,extroverted,0.74362001,False,0.0,347.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
mischievous,"Delights in harmless troublemaking, playful pranks, and creating amusing chaos.",ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_4251;q_4265,EPQr:EPQ:P;EPQr:EPQ:E,weak,0.13669857,0.24051859,weak,0.15912384,52,goofy,0.6094159,False,0.5979756,534.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
impulsive,Acts on immediate desires without considering consequences or alternatives.,ACCEPT_DIRECT,primary_direct,HIGH HUMAN-MEASUREMENT SUPPORT,STRONG STRUCTURAL SUPPORT,3,q_22;q_35;q_636,HEXACO:H:C:PR;IPIPneo:C6:CA,strong,0.58390894,0.80805995,strong,0.7198736,1,spontaneous,0.51072729,False,0.0,380.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
neurotic,"Shows persistent anxiety, emotional instability, and tendency toward negative emotions.",ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1989;q_1099;q_1578,IPIP100:B5:ES;BFAS:BFAS:N:W;IPIPneo:N1:ANX;IPIPneo:N3:DE,strong,0.37425368,0.64212543,strong,0.74396725,5,mercurial,0.77917791,False,0.26401585,335.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
disorganized,"Presents information in scattered, non-linear fashion. May jump between topics, forget previous points, or provide rambling responses that lack clear structure.",ACCEPT_CLOSE,secondary_close,MODERATE SUPPORT,STRONG STRUCTURAL SUPPORT,3,q_1254;q_1483;q_1511,IPIP100:B5:C;HEXACO:H:C:O;IPIPneo:C2:OR;HEXACO:H:C:PE,strong,0.40337232,0.66977752,strong,0.46415781,11,conscientious,0.53121333,False,0.0,393.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
cautious,"Emphasizes potential risks, limitations, and the need for careful consideration.",ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1781;q_292;q_2020,MPQ:MPQ:HA;HEXACO:H:E:F,strong,0.42975562,0.69333641,strong,0.57623458,2,risk_taking,0.87472334,False,0.63776166,483.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
meticulous,"Shows extreme care for precision, accuracy, and attention to every detail.",ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1063;q_1507;q_1915,HEXACO:H:C:PE;IPIP100:B5:C;MPQ:MPQ:CO;BFAS:BFAS:C:O,strong,0.5458829,0.78290251,strong,0.49157796,3,perfectionist,0.6858597,False,0.2949498,647.9,1.0,human_data_structural_diagnostic_pending_independent_expert_review
introspective,"Reflects on internal processes, self-analysis, and metacognitive awareness.",ACCEPT_DIRECT,primary_direct,MODERATE SUPPORT,STRONG STRUCTURAL SUPPORT,2,q_1880;q_1310,IPIPneo:O3:EM;MPQ:MPQ:AB;IPIPneo:O1:IM,moderate,0.23286641,0.37776423,strong,0.37767558,8,artistic,0.31991705,False,0.0,464.71,1.0,human_data_structural_diagnostic_pending_independent_expert_review
innovative,Constantly seeks new approaches and cutting-edge solutions. Emphasizes experimentation and embracing emerging technologies or methods.,ACCEPT_DIRECT,primary_direct,MODERATE SUPPORT,MODERATE STRUCTURAL SUPPORT,3,q_1392;q_2745;q_516,IPIP100:B5:O;HEXACO:H:O:C;PS:PS:P,strong,0.6405205,0.84240551,strong,0.65360948,2,creative,0.85698689,False,0.17244038,577.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
assertive,Takes clear positions and advocates strongly for particular viewpoints.,ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_2161;q_1768;q_1769,BFAS:BFAS:E:A;IPIP100:B5:E;MPQ:MPQ:SP;IPIPneo:E3:AS,strong,0.53129006,0.77275552,strong,0.62578362,2,dominant,1.0,True,0.0,592.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
independent,Encourages self-reliance and personal responsibility in decision-making.,ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_4244;q_463,EPQr:EPQ:P;HEXACO:H:E:D,weak,0.06554561,0.12302733,weak,0.09735035,90,rebellious,0.48135922,False,0.45742085,513.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
spiritual,"Incorporates transcendent dimensions, meaning beyond material existence, and sacred elements.",ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_345;q_660,MPQ:MPQ:TR;IPIPneo:O6:LI,strong,0.70137746,0.8244819,strong,0.36437962,1,secular,1.0,True,0.0,536.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
nonchalant,Maintains casual indifference and relaxed unconcern about outcomes.,ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_248;q_4261,IPIP100:B5:ES;MPQ:MPQ:SR;EPQr:EPQ:P,weak,0.1372866,0.24142832,weak,0.10595408,86,chill,0.55238416,False,0.495316,435.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
theatrical,"Performs responses with dramatic flair, exaggerated gestures, and stage-like presence.",ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_2951;q_1555,PS:PS:P;HEXACO:H:H:S,weak,0.12041947,0.21495426,weak,0.11834394,91,dramatic,0.7484716,False,0.53965524,499.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
passionate,"Shows intense enthusiasm, strong emotions, and deep investment in topics.",ACCEPT_CLOSE,secondary_close,INSUFFICIENT,INSUFFICIENT EVIDENCE,1,q_228,IPIPneo:O3:EM,single_item_only,,,insufficient,,,zealous,1.0,True,0.0,,1.0,human_data_structural_diagnostic_pending_independent_expert_review
deferential,Shows respect by yielding to others' authority and expertise.,ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_1624;q_917,BFAS:BFAS:A:P;HEXACO:H:H:S,moderate,0.25777687,0.40989284,moderate,0.21992313,31,rebellious,0.72338679,False,0.61492524,696.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
agreeable,Prioritizes harmony and maintaining positive relationships over confrontation.,ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_6;q_1763;q_1910,HEXACO:H:A:G;IPIP100:B5:A;BFAS:BFAS:A:C;IPIPneo:A6:SY,moderate,0.21838711,0.45599463,strong,0.51798814,4,competitive,0.68806151,False,0.34883633,417.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
reverent,"Shows deep respect, honor, and veneration for traditions and authority.",ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_1624;q_4236,BFAS:BFAS:A:P;EPQr:EPQ:P,strong,0.58842157,0.74088842,strong,0.56658389,1,rebellious,0.81798417,False,0.61492524,578.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
manipulative,"Uses deception, emotional exploitation, and psychological tactics to control others.",ACCEPT_DIRECT,primary_direct,HIGH HUMAN-MEASUREMENT SUPPORT,STRONG STRUCTURAL SUPPORT,3,q_1896;q_1765;q_905,QB6:QB6:H;IPIPneo:A2:MO;BFAS:BFAS:A:P;MPQ:MPQ:SP,strong,0.45795929,0.71708573,strong,0.57456111,4,hostile,0.44903857,False,0.0,423.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
melancholic,"Tends toward persistent sadness, brooding, and dwelling on negative aspects.",ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1706;q_1578;q_811,HEXACO:H:E:D;BFAS:BFAS:N:W;HEXACO:H:E:A;QB6:QB6:ES,strong,0.31306489,0.5775644,strong,0.58559221,12,neurotic,0.76846746,False,0.24762048,337.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
playful,"Incorporates fun, games, and lighthearted elements into interactions and problem-solving.",ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_4265;q_1685;q_1043,EPQr:EPQ:E;QB6:QB6:X;IPIPneo:E6:CH;BFAS:BFAS:E:E,strong,0.32422362,0.59005277,strong,0.57643347,1,goofy,0.9076926,False,0.52203838,342.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
calm,"Maintains steady, unruffled demeanor regardless of topic intensity. Provides measured responses that help de-escalate tensions and promote rational discussion.",ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_85;q_1616,IPIPneo:N6:VU;HEXACO:H:E:A,strong,0.77273159,0.87179762,strong,0.52970044,8,serene,0.94175764,False,0.44085546,436.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
competitive,"Emphasizes winning, achievement, and outperforming others.",ACCEPT_CLOSE,secondary_close,INSUFFICIENT,INSUFFICIENT EVIDENCE,1,q_1910,IPIPneo:A6:SY,single_item_only,,,insufficient,,,agreeable,0.68806151,False,0.0,,1.0,human_data_structural_diagnostic_pending_independent_expert_review
extroverted,Shows energy when engaging with users and discussing social topics.,ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1742;q_1803;q_4257,IPIP100:B5:E;HEXACO:H:X:S;QB6:QB6:X;IPIPneo:E2:GR,strong,0.6504743,0.84809495,strong,0.72907294,7,gregarious,0.89072557,False,0.60537801,364.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
bitter,"Harbors deep resentment and expresses harsh, cynical views from past disappointments.",ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_848;q_1150;q_630,MPQ:MPQ:AL;HEXACO:H:A:FO;MPQ:MPQ:AG;IPIPneo:A4:CO,strong,0.33891368,0.60598669,strong,0.59464253,2,vindictive,0.90271821,False,0.63648701,388.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
hostile,Exhibits aggressive antagonism and combative approach to interactions.,ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1051;q_630;q_1150,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO;HEXACO:H:A:FO,strong,0.30090975,0.5635649,strong,0.61691492,2,vindictive,0.89440254,False,0.63648701,289.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
proactive,Anticipates needs and addresses issues before they become problems.,ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_1883;q_4257,IPIPneo:C4:AS;EPQr:EPQ:E,strong,0.31719939,0.48162699,moderate,0.38004998,45,extroverted,0.76207982,False,0.4209407,532.67,1.0,human_data_structural_diagnostic_pending_independent_expert_review
emotional,"Acknowledges and discusses feelings, moods, and emotional experiences.",ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1681;q_793;q_219,HEXACO:H:E:S;IPIPneo:O3:EM;MPQ:MPQ:SC,strong,0.33622513,0.60311234,strong,0.44833028,2,detached,0.70045494,False,0.39753941,495.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
dominant,Takes charge of conversations and drives toward specific outcomes.,ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1768;q_1769;q_2161,IPIP100:B5:E;BFAS:BFAS:E:A;MPQ:MPQ:SP;IPIPneo:E3:AS,strong,0.53129006,0.77275552,strong,0.62578362,2,assertive,1.0,True,0.0,592.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
submissive,Readily yields to others' wishes and avoids asserting own views or needs.,ACCEPT_CLOSE,secondary_close,REDUNDANT / BROAD,WEAK / REDUNDANT,2,q_2161;q_1768,BFAS:BFAS:E:A;IPIP100:B5:E;MPQ:MPQ:SP;IPIPneo:E3:AS,strong,0.48475193,0.65297363,strong,0.54160911,5,dominant,0.95149274,False,0.0,644.86,1.0,human_data_structural_diagnostic_pending_independent_expert_review
reserved,Maintains emotional restraint and limits personal disclosure.,ACCEPT_DIRECT,primary_direct,REDUNDANT / BROAD,WEAK / REDUNDANT,3,q_1196;q_1635;q_1742,BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;QB6:QB6:X,strong,0.41040619,0.67619189,strong,0.77779338,1,extroverted,0.72168779,False,0.53601955,369.0,1.0,human_data_structural_diagnostic_pending_independent_expert_review
