model,dimension,dropped_trait,dropped_polarity,direction_cosine_to_full,role_score_pearson_to_full,role_score_spearman_to_full
gemma,agreeableness,confrontational,negative,0.9986571285640145,0.99947776117601,0.9990150313031938
gemma,agreeableness,callous,negative,0.9990643970273634,0.9996889669577582,0.9994495254031911
gemma,agreeableness,cynical,negative,0.9989560557649017,0.9998196003022134,0.9997097602492716
gemma,agreeableness,hostile,negative,0.9991817885135188,0.9994370949963249,0.9991113932085052
gemma,agreeableness,vindictive,negative,0.9968449034557703,0.9997478244328348,0.9995008799515306
gemma,agreeableness,critical,negative,0.9972086248922436,0.9992084689698428,0.9989267476414414
gemma,agreeableness,acerbic,negative,0.9991361630933474,0.9996848672098319,0.9995741611609591
gemma,agreeableness,cruel,negative,0.9993508316045104,0.9997879090679824,0.9996578286835348
gemma,agreeableness,competitive,negative,0.9987250754348866,0.9997039849874885,0.9993756671763654
gemma,neuroticism,anxious,positive,0.9980506461403238,0.998786032268615,0.99902368656415
gemma,neuroticism,neurotic,positive,0.9985758323885232,0.9991476656987663,0.9993543175326737
gemma,neuroticism,reactive,positive,0.9968660683116202,0.9984791373427235,0.9983705028706615
gemma,neuroticism,pessimistic,positive,0.9976644462569392,0.9994356679566545,0.9992342979140821
gemma,neuroticism,melancholic,positive,0.9971823847689241,0.9983208745174178,0.9985009088024004
gemma,neuroticism,temperamental,positive,0.9986669823333029,0.9996488717468737,0.9996220536049163
gemma,neuroticism,paranoid,positive,0.9977747721677866,0.9996360781161765,0.999681486396815
gemma,neuroticism,fatalistic,positive,0.9965936417594763,0.9967411427943259,0.9971258763451718
gemma,neuroticism,impatient,positive,0.9969438265390019,0.9990227734309866,0.9990415741034593
gemma,neuroticism,melodramatic,positive,0.9966439517695549,0.9976108533874174,0.9979117740399874
gemma,neuroticism,calm,negative,0.9989066394336826,0.9998178139203405,0.9997478433974786
gemma,neuroticism,resilient,negative,0.9976475665130907,0.9996455421928848,0.9996757162228441
gemma,neuroticism,serene,negative,0.99723978559423,0.9977324865593347,0.9981437350336113
gemma,neuroticism,patient,negative,0.9964028751158258,0.9996157780040008,0.9995920487002684
gemma,neuroticism,grounded,negative,0.993749014277843,0.9924990193451264,0.9937716742159777
gemma,neuroticism,confident,negative,0.9951345328622612,0.9980808005776611,0.9978684977352068
gemma,neuroticism,stoic,negative,0.9960448449726875,0.997813416386704,0.9971120279276421
gemma,neuroticism,nonchalant,negative,0.9964708711607033,0.9990638324179819,0.9992117942355963
gemma,neuroticism,chill,negative,0.9957161497267416,0.9979487622172274,0.997730590577306
