pc,axis_status_core_or_secondary,human_construct,construct_id,framework,level_domain_aspect_facet,polarity,match_status,evidence_summary,model_side_dependencies,human_measurement_source,sapa_available,measurement_quality,known_mismatches,validation_status
PC3,CORE,Aggression,MPQ:MPQ:AG,Multidimensional Personality Questionnaire,primary_trait,positive,FACET / SUBCOMPONENT,"Traits: SUPPORTS — vindictive, confrontational, cruel, dominant, and challenging content. Roles: SUPPORTS — saboteur, provocateur, demon, and rogue fit an aggressive/antagonistic component. Blinded evidence: SUPPORTS — antagonistic-transgressive framing includes aggression.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,MPQ:MPQ:AG,True,SUPPORTS — 10-item reliable released key.,"Hacker, cynic, comedian, and skeptic can be high without physical or interpersonal aggression.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC3,CORE,Altruism,IPIPneo:A3:AL,IPIP-NEO,facet,negative,FACET / SUBCOMPONENT,Traits: SUPPORTS — altruistic/supportive/nurturing versus callous/cruel opposition. Roles: SUPPORTS — caregiving and helping roles define the low pole. Blinded evidence: SUPPORTS — cooperative stabilization includes active aid.,qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,IPIPneo:A3:AL,True,SUPPORTS — 10-item released key with adequate reliability.,"Does not capture forgiveness, politeness, skepticism, or transgressive style.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC3,CORE,Machiavellianism,SPI_15machiavell,SAPA Personality Inventory,narrow_trait,positive,FACET / SUBCOMPONENT,"Traits: SUPPORTS — cynical, callous, dominant, competitive, and manipulative-adjacent content. Roles: SUPPORTS — spy, saboteur, rogue, and provocateur fit strategic manipulation or exploitation. Blinded evidence: PARTIAL — exploitation is a component but not the complete broader interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,SPI_15machiavell,True,SUPPORTS — released 8-item key with acceptable human-only reliability.,"Many high-PC3 roles are disruptive, comic, or skeptical rather than manipulative.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC4,SUPPORTED_SECONDARY,Openness/Intellect,IPIP100:B5:O,Big Five,domain,negative,PLAUSIBLE PARTIAL CANDIDATE,"Traits: SUPPORTS — holistic, systems-thinking, big-picture, introspective, interdisciplinary, progressive, and critical traits are negative; literal, reductionist, and traditional traits are positive. Roles: SUPPORTS — visionary, revolutionary, maverick, rebel, and contrarian are negative; literal/developmental roles are positive. Blinded evidence: UNAVAILABLE — no mature coordinate-blind interpretation for this secondary axis.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,IPIP100:B5:O,True,SUPPORTS — 20-item reliable key.,Avoidance/deference/naivety and infant/toddler/caveman roles are not fully explained; axis stability is secondary.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC4,SUPPORTED_SECONDARY,Traditionalism,MPQ:MPQ:TR,Multidimensional Personality Questionnaire,primary_trait,positive,PLAUSIBLE PARTIAL CANDIDATE,"Traits: SUPPORTS — traditional, deferential, literal content is positive; progressive/deconstructionist content is negative. Roles: SUPPORTS — traditionalist/constrained roles tend positive relative to revolutionary/rebel/activist roles. Blinded evidence: UNAVAILABLE — no mature blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,MPQ:MPQ:TR,True,SUPPORTS — 10-item reliable released key.,"Infant, toddler, pirate, translator, and proofreader are not a coherent Traditionalism group; political content is not the whole axis.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC4,SUPPORTED_SECONDARY,Intellect,BFAS:BFAS:O:I,Big Five Aspects,aspect,negative,FACET / SUBCOMPONENT,"Traits: SUPPORTS — systems, big-picture, critical, interdisciplinary content is negative versus literal/reductionist positive. Roles: PARTIAL — visionary and systems-oriented roles fit, but developmental positives do not map cleanly. Blinded evidence: UNAVAILABLE — no mature blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,BFAS:BFAS:O:I,True,SUPPORTS — 10-item reliable key.,Avoidant/deferential and political-autonomy contrasts exceed Intellect.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC4,SUPPORTED_SECONDARY,Unconventionality,HEXACO:H:O:U,HEXACO,facet,negative,FACET / SUBCOMPONENT,"Traits: SUPPORTS — progressive, constructivist, deconstructionist content is negative while traditional is positive. Roles: SUPPORTS — revolutionary, anarchist, maverick, rebel, and provocateur are negative. Blinded evidence: UNAVAILABLE — no mature blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,HEXACO:H:O:U,True,SUPPORTS — 10-item reliable key.,Does not cover systems cognition or avoidant/developmental positives.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC4,SUPPORTED_SECONDARY,Liberalism,IPIPneo:O6:LI,IPIP-NEO,facet,negative,FACET / SUBCOMPONENT,"Traits: SUPPORTS — progressive, critical, independent and deconstructionist traits are negative. Roles: SUPPORTS — revolutionary/rebel/activist/contrarian roles occupy the negative pole. Blinded evidence: UNAVAILABLE — no mature blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,IPIPneo:O6:LI,True,SUPPORTS — 10-item key with adequate reliability.,Political valence can overfit the role vocabulary and does not explain literal/reductionist or developmental content.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC5,SUPPORTED_SECONDARY,Openness/Intellect,IPIP100:B5:O,Big Five,domain,positive,PLAUSIBLE PARTIAL CANDIDATE,"Traits: SUPPORTS — divergent, curious, introspective, futuristic, inclusive, interdisciplinary, exploratory, eclectic, and progressive traits are positive; closure-seeking, convergent, traditional, and practical traits are negative. Roles: PARTIAL — imaginative/comic/alien roles are positive and militarized/constrained roles negative, but developmental positives complicate the domain. Blinded evidence: UNAVAILABLE — no mature coordinate-blind interpretation for PC5.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,IPIP100:B5:O,True,SUPPORTS — 20-item reliable key.,Strict Qwen Openness association is only modest; closure/efficiency and militarized role content are not exhausted by Openness.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC5,SUPPORTED_SECONDARY,Plasticity,PS:PS:P,Big Five Metatraits,metatrait,positive,PLAUSIBLE PARTIAL CANDIDATE,"Traits: SUPPORTS — exploratory, curious, divergent, cosmopolitan, and future-oriented content fits novelty engagement. Roles: PARTIAL — comic and imaginative positives fit; infants/toddlers/procrastinators and military negatives add developmental/constraint content. Blinded evidence: UNAVAILABLE — no mature blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,PS:PS:P,True,SUPPORTS — 20-item high-reliability key.,"Extraversion association is weak, so the full metatrait is broader than PC5.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC5,SUPPORTED_SECONDARY,Creativity,HEXACO:H:O:C,HEXACO,facet,positive,FACET / SUBCOMPONENT,"Traits: SUPPORTS — divergent, futuristic, eclectic, exploratory traits. Roles: SUPPORTS — designer, comic, absurdist, and imaginative/nonordinary roles fit better than military/convergent roles. Blinded evidence: UNAVAILABLE — no mature blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,HEXACO:H:O:C,True,SUPPORTS — 10-item reliable key.,"Does not capture cosmopolitanism, inclusion, or low closure by itself.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC5,SUPPORTED_SECONDARY,Inquisitiveness,HEXACO:H:O:I,HEXACO,facet,positive,FACET / SUBCOMPONENT,"Traits: SUPPORTS — curious, exploratory, interdisciplinary, and futuristic content. Roles: PARTIAL — dilettante/linguist/nonordinary roles fit, but comic/developmental roles are mixed. Blinded evidence: UNAVAILABLE — no mature blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,HEXACO:H:O:I,True,SUPPORTS — 10-item key with adequate reliability.,The Qwen model trait inquisitive is not among the very top PC5 associations and action/closure content remains.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC5,SUPPORTED_SECONDARY,Unconventionality,HEXACO:H:O:U,HEXACO,facet,positive,FACET / SUBCOMPONENT,"Traits: SUPPORTS — divergent, eclectic, progressive, exploratory content versus traditional/fundamentalist content. Roles: SUPPORTS — absurdist, fool, alien, simulacrum, and comedian are positive relative to conventional martial roles. Blinded evidence: UNAVAILABLE — no mature blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,HEXACO:H:O:U,True,SUPPORTS — reliable 10-item key.,Infant/toddler/procrastinator positives are not unconventional beliefs.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC5,SUPPORTED_SECONDARY,Absorption,MPQ:MPQ:AB,Multidimensional Personality Questionnaire,primary_trait,positive,FACET / SUBCOMPONENT,"Traits: PARTIAL — introspective, divergent, and nonordinary content fits imaginative involvement. Roles: PARTIAL — alien, simulacrum, void, absurdist, and comic roles fit nonordinary engagement. Blinded evidence: UNAVAILABLE — no mature blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,MPQ:MPQ:AB,True,SUPPORTS — 10-item reliable released key.,Cosmopolitan/inclusive/futuristic content and closure/efficiency opposition are not absorption.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC5,SUPPORTED_SECONDARY,Traditionalism,MPQ:MPQ:TR,Multidimensional Personality Questionnaire,primary_trait,negative,FACET / SUBCOMPONENT,"Traits: SUPPORTS — traditional and fundamentalist traits are negative; progressive/cosmopolitan traits positive. Roles: PARTIAL — conventional martial/provincial roles are negative, though criminal/pirate counterexamples are not traditional. Blinded evidence: UNAVAILABLE — no mature blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,MPQ:MPQ:TR,True,SUPPORTS — 10-item reliable key.,"Efficiency, decisiveness, and closure are not identical to Traditionalism.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC6,SUPPORTED_SECONDARY,Need for Cognitive Closure,external:NFC,Motivated Social Cognition,domain,positive,PLAUSIBLE PARTIAL CANDIDATE,"Traits: SUPPORTS — deontological, universalist, fundamentalist, principled, absolutist, convergent, dogmatic, and literal positive traits oppose divergent/exploratory/systemic traits. Roles: SUPPORTS — zealot, stoic, martyr, judge, purist, traditionalist, and skeptic fit committed definite frameworks, although anarchist/revolutionary content spans ideologies. Blinded evidence: UNAVAILABLE — no mature coordinate-blind interpretation for PC6.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,https://doi.org/10.1037/0022-3514.67.6.1049,False,UNAVAILABLE — no dedicated Need for Closure Scale is present in the acquired SAPA release; another dataset is required.,"The PC6 pole includes principled commitment across opposed ideologies, not merely desire for quick answers; axis stability is secondary.",DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC6,SUPPORTED_SECONDARY,Openness/Intellect,IPIP100:B5:O,Big Five,domain,negative,PLAUSIBLE PARTIAL CANDIDATE,"Traits: SUPPORTS — systems-thinking, divergent, holistic, interdisciplinary, futuristic, curious, and exploratory traits are negative; literal, fundamentalist, and dogmatic traits positive. Roles: PARTIAL — creative/aesthetic lifestyle roles are negative, but anarchist/revolutionary positive roles are not conventionally low Openness. Blinded evidence: UNAVAILABLE — no mature blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,IPIP100:B5:O,True,SUPPORTS — reliable 20-item key.,Qwen strict association is weak and political/ethical commitment cuts across conventional openness content.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
PC6,SUPPORTED_SECONDARY,Dutifulness,IPIPneo:C3:DU,IPIP-NEO,facet,positive,FACET / SUBCOMPONENT,"Traits: PARTIAL — deontological and principled content fits duty, but Conscientiousness as a whole is nearly unrelated. Roles: PARTIAL — judge, stoic, martyr, purist, and pacifist may embody obligation; anarchist and cynic complicate it. Blinded evidence: UNAVAILABLE — no mature blinded interpretation.",qwen_pc1_pc6_model_side_signatures.csv; Qwen/Qwen3-32B only,IPIPneo:C3:DU,True,SUPPORTS — 10-item reliable key.,Cannot explain systems/divergent negative traits or cross-ideological extremity.,DISCOVERY_ONLY / NOT YET CROSS-MODEL VALIDATED
