item_id,item_text,audit_theme,physicality_status,constructs_containing_item,source_scale_memberships,valid_response_n,interpretive_note
q_140,Am hard to get to know.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:A:Agreeableness;BFAS:BFAS:E:E:Enthusiasm;HEXACO_X:Extraversion;HEXACO:H:X:S:Sociability;NEO_E:Extraversion;IPIPneo:E1:FR:Friendliness;MPQ:MPQ:SC:Social Closeness,IPIP100:B5:A;BFAS:BFAS:E:E;HEXACO:H:X:S;MPQ:MPQ:SC;IPIPneo:E1:FR,2667,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_148,Interested in many things.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,PS:PS:P:Plasticity;NEO_O:Openness to Experience;IPIPneo:O4:AD:Adventurousness,IPIPneo:O4:AD;PS:PS:P,2522,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_151,Am interested in science.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,HEXACO_O:Openness to Experience;HEXACO:H:O:I:Inquisitiveness,HEXACO:H:O:I,4307,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_158,Am never at a loss for words.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:E:Expressiveness,HEXACO:H:X:E,4195,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_175,Am not easily amused.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E6:CH:Cheerfulness;SPI_15seriousness:Seriousness,IPIPneo:E6:CH,2401,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_194,Am not interested in abstract ideas.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,IPIP100:B5:O:Openness/Intellect;NEO_O:Openness to Experience;IPIPneo:O5:IN:Intellect;SPI_5intelOpen:Intellect/Openness;SPI_15openness:Openness,IPIP100:B5:O;IPIPneo:O5:IN,2796,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_197,Am not interested in theoretical discussions.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,NEO_O:Openness to Experience;IPIPneo:O5:IN:Intellect,IPIPneo:O5:IN,2483,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_200,Am not really interested in others.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:A:Agreeableness;NEO_E:Extraversion;IPIPneo:E1:FR:Friendliness,IPIP100:B5:A;IPIPneo:E1:FR,4121,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_240,Am quick to understand things.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,IPIP100:B5:O:Openness/Intellect;BFAS:BFAS:O:I:Intellect;SPI_5intelOpen:Intellect/Openness;SPI_15intellect:Intellect,IPIP100:B5:O;BFAS:BFAS:O:I,4228,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_241,Am quiet around strangers.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion,IPIP100:B5:E,2795,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_254,Am skilled in handling social situations.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;PS:PS:P:Plasticity,IPIP100:B5:E;PS:PS:P,2884,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_260,Am the first to act.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:A:Assertiveness,BFAS:BFAS:E:A,4383,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_262,Am the life of the party.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;HEXACO_X:Extraversion;HEXACO:H:X:E:Expressiveness,IPIP100:B5:E;HEXACO:H:X:E,2786,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_279,Am usually active and full of energy.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:L:Liveliness,HEXACO:H:X:L,4439,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_292,Am willing to take risks.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,HEXACO_E:Emotionality;HEXACO:H:E:F:Fearfulness;SPI_15boldness:Boldness,HEXACO:H:E:F,3326,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_294,Am willing to try anything once.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E5:ES:Excitement Seeking;MPQ:MPQ:HA:Harm Avoidance,MPQ:MPQ:HA;IPIPneo:E5:ES,2506,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_296,Amuse my friends.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E6:CH:Cheerfulness,IPIPneo:E6:CH,2516,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_313,Avoid contacts with others.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E1:FR:Friendliness;MPQ:MPQ:SC:Social Closeness,MPQ:MPQ:SC;IPIPneo:E1:FR,2540,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_314,Avoid crowds.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E2:GR:Gregariousness,IPIPneo:E2:GR,2427,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_315,Avoid dangerous situations.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,MPQ:MPQ:HA:Harm Avoidance,MPQ:MPQ:HA,2426,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_316,Avoid difficult reading material.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,IPIP100:B5:O:Openness/Intellect;BFAS:BFAS:O:I:Intellect;HEXACO_O:Openness to Experience;HEXACO:H:O:I:Inquisitiveness;NEO_O:Openness to Experience;IPIPneo:O5:IN:Intellect,IPIP100:B5:O;BFAS:BFAS:O:I;HEXACO:H:O:I;IPIPneo:O5:IN,4373,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_322,Avoid philosophical discussions.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,BFAS:BFAS:O:I:Intellect;NEO_O:Openness to Experience;IPIPneo:O5:IN:Intellect,BFAS:BFAS:O:I;IPIPneo:O5:IN,2794,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_334,Begin to panic when there is danger.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,HEXACO_E:Emotionality;HEXACO:H:E:F:Fearfulness;SPI_15fear:Fear,HEXACO:H:E:F,3385,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_403,Bottle up my feelings.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;HEXACO_X:Extraversion;HEXACO:H:X:E:Expressiveness,IPIP100:B5:E;HEXACO:H:X:E,2808,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_422,Can handle a lot of information.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,IPIP100:B5:O:Openness/Intellect;BFAS:BFAS:O:I:Intellect;NEO_O:Openness to Experience;IPIPneo:O5:IN:Intellect;SPI_5intelOpen:Intellect/Openness;SPI_15intellect:Intellect,IPIP100:B5:O;BFAS:BFAS:O:I;IPIPneo:O5:IN,4351,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_429,Can manage many things at the same time.,"energy, busyness, or tempo",ACTIVITY_ENERGY_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E4:AL:Activity Level,IPIPneo:E4:AL,2450,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_438,Can say things beautifully.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,PS:PS:P:Plasticity,PS:PS:P,2446,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_455,Can talk others into doing things.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:A:Assertiveness;NEO_E:Extraversion;IPIPneo:E3:AS:Assertiveness;MPQ:MPQ:SP:Social Potency,BFAS:BFAS:E:A;MPQ:MPQ:SP;IPIPneo:E3:AS,4325,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_492,Carry the conversation to a higher level.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,IPIP100:B5:O:Openness/Intellect;PS:PS:P:Plasticity;HEXACO_O:Openness to Experience;HEXACO:H:O:C:Creativity,IPIP100:B5:O;HEXACO:H:O:C;PS:PS:P,4278,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_505,Cheer people up.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E1:FR:Friendliness,IPIPneo:E1:FR,2412,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_566,Dislike changes.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_O:Openness to Experience;IPIPneo:O4:AD:Adventurousness;SPI_15habit:Habit,IPIPneo:O4:AD,2568,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_576,Dislike loud music.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E5:ES:Excitement Seeking,IPIPneo:E5:ES,2526,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_581,Dislike new foods.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_O:Openness to Experience;IPIPneo:O4:AD:Adventurousness,IPIPneo:O4:AD,2432,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_595,Do a lot in my spare time.,"energy, busyness, or tempo",ACTIVITY_ENERGY_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E4:AL:Activity Level,IPIPneo:E4:AL,2506,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_598,Do crazy things.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_C:Conscientiousness;IPIPneo:C6:CA:Cautiousness;MPQ:MPQ:HA:Harm Avoidance,MPQ:MPQ:HA;IPIPneo:C6:CA,2428,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_599,Do dangerous things.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,MPQ:MPQ:HA:Harm Avoidance,MPQ:MPQ:HA,2543,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_636,Do things without thinking of the consequences.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_C:Conscientiousness;HEXACO:H:C:PR:Prudence;SPI_15impulsivity:Impulsivity,HEXACO:H:C:PR,2732,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_651,Don't [worry about] political and social problems.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,HEXACO_O:Openness to Experience;HEXACO:H:O:I:Inquisitiveness,HEXACO:H:O:I,2787,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_670,Don't know much about history.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,HEXACO_O:Openness to Experience;HEXACO:H:O:I:Inquisitiveness,HEXACO:H:O:I,2762,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_684,Don't like crowded events.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E2:GR:Gregariousness,IPIPneo:E2:GR,2439,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_689,Don't like the idea of change.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_O:Openness to Experience;IPIPneo:O4:AD:Adventurousness;SPI_15habit:Habit,IPIPneo:O4:AD,2470,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_690,Don't like to draw attention to myself.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;HEXACO_X:Extraversion;HEXACO:H:X:E:Expressiveness;NEO_E:Extraversion;IPIPneo:E3:AS:Assertiveness;MPQ:MPQ:SP:Social Potency,IPIP100:B5:E;HEXACO:H:X:E;MPQ:MPQ:SP;IPIPneo:E3:AS,2792,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_698,Don't mind being the center of attention.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;PS:PS:P:Plasticity;HEXACO_X:Extraversion;HEXACO:H:X:SB:Social Boldness,IPIP100:B5:E;HEXACO:H:X:SB;PS:PS:P,4369,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_708,Don't see the consequences of things.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_C:Conscientiousness;IPIPneo:C1:SE:Self-Efficacy;SPI_15impulsivity:Impulsivity,IPIPneo:C1:SE,2412,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_712,Don't talk a lot.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;HEXACO_X:Extraversion;HEXACO:H:X:E:Expressiveness;SPI_5extraversion:Extraversion;SPI_3sociability:Sociability;SPI_15sociability:Sociability,IPIP100:B5:E;HEXACO:H:X:E,2852,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_740,Engage in discussions.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,PS:PS:P:Plasticity,PS:PS:P,2480,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_744,Enjoy being part of a group.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:S:Sociability;NEO_E:Extraversion;IPIPneo:E2:GR:Gregariousness;MPQ:MPQ:SC:Social Closeness,HEXACO:H:X:S;MPQ:MPQ:SC;IPIPneo:E2:GR,2740,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_745,Enjoy being part of a loud crowd.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E5:ES:Excitement Seeking,IPIPneo:E5:ES,2537,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_746,Enjoy being reckless.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E5:ES:Excitement Seeking;MPQ:MPQ:HA:Harm Avoidance,MPQ:MPQ:HA;IPIPneo:E5:ES,2442,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_761,Enjoy intellectual games.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,HEXACO_O:Openness to Experience;HEXACO:H:O:I:Inquisitiveness,HEXACO:H:O:I,4354,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_778,Enjoy thinking about things.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,NEO_O:Openness to Experience;IPIPneo:O5:IN:Intellect;SPI_5intelOpen:Intellect/Openness;SPI_15openness:Openness,IPIPneo:O5:IN,2405,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_799,Express childlike joy.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E6:CH:Cheerfulness,IPIPneo:E6:CH,2431,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_803,Express myself easily.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,PS:PS:P:Plasticity,PS:PS:P,2450,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_804,Face danger confidently.,"risk, novelty, or danger",RISK_ADVENTURE_NEIGHBOR,HEXACO_E:Emotionality;HEXACO:H:E:F:Fearfulness,HEXACO:H:E:F,3368,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_815,Feel at ease with people.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion,IPIP100:B5:E,2800,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_819,Feel comfortable around people.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;HEXACO_X:Extraversion;HEXACO:H:X:SB:Social Boldness;NEO_E:Extraversion;IPIPneo:E1:FR:Friendliness,IPIP100:B5:E;HEXACO:H:X:SB;IPIPneo:E1:FR,2769,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_832,Feel healthy and vibrant most of the time.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:L:Liveliness,HEXACO:H:X:L,4316,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_861,Feel that I have a lot of inner strength.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:L:Liveliness,HEXACO:H:X:L,4354,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_901,Find it difficult to approach others.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;HEXACO_X:Extraversion;HEXACO:H:X:SB:Social Boldness;NEO_N:Neuroticism;IPIPneo:N4:SC:Self-Consciousness,IPIP100:B5:E;HEXACO:H:X:SB;IPIPneo:N4:SC,2752,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_923,Find political discussions interesting.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,HEXACO_O:Openness to Experience;HEXACO:H:O:I:Inquisitiveness,HEXACO:H:O:I,4355,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_946,Formulate ideas clearly.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,BFAS:BFAS:O:I:Intellect,BFAS:BFAS:O:I,4436,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1027,Hate being the center of attention.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:SB:Social Boldness,HEXACO:H:X:SB,2827,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1043,Have a lot of fun.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:E:Enthusiasm;HEXACO_X:Extraversion;HEXACO:H:X:L:Liveliness;NEO_E:Extraversion;IPIPneo:E6:CH:Cheerfulness;MPQ:MPQ:WB:Well-Being,BFAS:BFAS:E:E;HEXACO:H:X:L;MPQ:MPQ:WB;IPIPneo:E6:CH,2721,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1045,Have a natural talent for influencing people.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,PS:PS:P:Plasticity;MPQ:MPQ:SP:Social Potency,MPQ:MPQ:SP;PS:PS:P,2553,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1050,Have a rich vocabulary.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,IPIP100:B5:O:Openness/Intellect;BFAS:BFAS:O:I:Intellect;HEXACO_O:Openness to Experience;HEXACO:H:O:I:Inquisitiveness;NEO_O:Openness to Experience;IPIPneo:O5:IN:Intellect;QB6:QB6:O:Originality/Talent;SPI_5intelOpen:Intellect/Openness,IPIP100:B5:O;BFAS:BFAS:O:I;HEXACO:H:O:I;QB6:QB6:O;IPIPneo:O5:IN,4466,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1055,Have a strong personality.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:A:Assertiveness;PS:PS:P:Plasticity;HEXACO_X:Extraversion;HEXACO:H:X:SB:Social Boldness,BFAS:BFAS:E:A;HEXACO:H:X:SB;PS:PS:P,4374,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1064,"Have an intense, boisterous laugh.","social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:E:Expressiveness,HEXACO:H:X:E,2747,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1081,Have difficulty expressing my feelings.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,PS:PS:P:Plasticity,PS:PS:P,2520,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1088,Have difficulty understanding abstract ideas.,learning or conceptual inquiry,KNOWLEDGE_INQUIRY_NEIGHBOR,IPIP100:B5:O:Openness/Intellect;BFAS:BFAS:O:I:Intellect;NEO_O:Openness to Experience;IPIPneo:O5:IN:Intellect;QB6:QB6:O:Originality/Talent,IPIP100:B5:O;BFAS:BFAS:O:I;QB6:QB6:O;IPIPneo:O5:IN,4213,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1104,Have great stamina.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_X:Extraversion;HEXACO:H:X:L:Liveliness,HEXACO:H:X:L,4352,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1110,Have leadership abilities.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,PS:PS:P:Plasticity;HEXACO_X:Extraversion;HEXACO:H:X:SB:Social Boldness,HEXACO:H:X:SB;PS:PS:P,4416,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1114,Have little to say.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,IPIP100:B5:E:Extraversion;PS:PS:P:Plasticity;HEXACO_X:Extraversion;HEXACO:H:X:SB:Social Boldness;NEO_E:Extraversion;IPIPneo:E3:AS:Assertiveness;MPQ:MPQ:SP:Social Potency,IPIP100:B5:E;HEXACO:H:X:SB;MPQ:MPQ:SP;IPIPneo:E3:AS;PS:PS:P,2791,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1151,Hold back my opinions.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,BFAS:BFAS:E:A:Assertiveness;NEO_E:Extraversion;IPIPneo:E3:AS:Assertiveness,BFAS:BFAS:E:A;IPIPneo:E3:AS,4299,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1169,Involve others in what I am doing.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,NEO_E:Extraversion;IPIPneo:E2:GR:Gregariousness,IPIPneo:E2:GR,2488,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
q_1173,Jump into things without thinking.,"social engagement, energy, or expression",SOCIAL_OUTWARD_NEIGHBOR,HEXACO_C:Conscientiousness;HEXACO:H:C:PR:Prudence;NEO_C:Conscientiousness;IPIPneo:C6:CA:Cautiousness;MPQ:MPQ:CO:Control;SPI_15impulsivity:Impulsivity,HEXACO:H:C:PR;MPQ:MPQ:CO;IPIPneo:C6:CA,2730,No direct athleticism/physical-activity construct is inferred from this item; single items remain item-level evidence only.
