axis,construct_id,construct_name,framework,domain,construct_level,construct_definition,sapa_availability,item_ids,item_count,reliability,candidate_universe,serious_candidate,proposed_measurement_direction,positive_pole_marker_coverage,negative_pole_inverse_coherence,highly_concentrated_marker_coverage,strict_axis_specific_marker_coverage,role_persona_coherence,prior_model_side_interpretation_coherence,focused_activation_or_role_rating_coherence,human_construct_definition_fit,human_item_content_fit,important_contradictions,model_specific_residual_content,overall_match,previous_mapping_disposition
PC2,IPIPneo:E5:ES,Excitement Seeking,IPIP-NEO,Extraversion,facet,"Preference for stimulation, novelty, and risk.",administered_in_release,q_31;q_294;q_576;q_745;q_746;q_1360;q_1368;q_1662;q_1664;q_2017,10,0.86152134,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC2 only weakly,Covers stimulation and direct novelty.,Lower Excitement Seeking could fit solemn/inward context.,Does not directly cover experiential/practical/inquisitive; Qwen risk-taking was more PC1-negative than PC2-specific.,No strict PC2 marker match.,Daredevil is physically coded but does not alone define the continuum.,"Previously mapped to PC1 negative, showing cross-axis semantic ambiguity.",Physical role coding is modest and sparse.,Narrow sensation/risk neighbor.,"Items cover thrills, danger, crowds, reckless action, and adventure.",Risk seeking is not physical engagement or practical experience.,Abstract/ritual structure remains.,WEAK_OR_NONSPECIFIC,DOWNGRADE as PC2 analogue.
PC2,IPIPneo:E2:GR,Gregariousness,IPIP-NEO,Extraversion,facet,"Preference for company, groups, and frequent social interaction.",administered_in_release,q_314;q_684;q_744;q_1169;q_1370;q_1376;q_1531;q_1666;q_1803;q_1923,10,0.89953207,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC2,Directly covers gregarious positive context.,Lower Gregariousness coheres with introverted negative PC2.,No coverage of the strict/high-concentration experiential/practical/inquisitive trio beyond social context.,Covers one broader target-dominant positive marker and part of introverted inverse.,Role-level social-outward ratings correlate weakly with PC2.,Useful opposite-pole completion.,No focused evidence beyond the role diagnostic.,Good narrow social fit.,"Items focus groups, company, crowds, and social contact.","Does not explain abstraction, ritual, theory, or hands-on practicality.",Most axis content remains.,PARTIAL_COMPONENT,ADD as narrow Extraversion facet.
PC2,IPIPneo:O4:AD,Adventurousness,IPIP-NEO,Openness to Experience,facet,"Preference for variety, novelty, and new experiences.",administered_in_release,q_47;q_82;q_148;q_566;q_581;q_689;q_1303;q_1334;q_1540;q_1542,10,0.81363872,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC2,Covers new and direct experience by semantic proximity.,Lower Adventurousness weakly fits ritual/traditional regularity.,Partial coverage of experiential; not practical or inquisitive.,Experiential is covered indirectly; Qwen adventurous itself is not strict PC2 and is strongly PC1-negative.,Surfer/daredevil/nomad-like roles provide mixed evidence.,Retain previous positive-PC2 partial mapping with stronger cross-loading caveat.,Physicality is only a modest independent signal.,"Good for novelty preference, not concrete application.","Items cover variety, novelty, travel, new foods, and change rather than bodily action.",Cross-loads conceptually with PC1 expressive/open possibility.,"Practicality, inward abstraction, and ritual remain.",PARTIAL_COMPONENT,RETAIN but DOWNGRADE as evidence for embodiment.
PC2,MPQ:MPQ:AB,Absorption,Multidimensional Personality Questionnaire,Absorption,primary_trait,"Imaginative and perceptual involvement, including altered or highly engaging experiences.",administered_in_release,q_610;q_612;q_780;q_1058;q_1310;q_1381;q_1389;q_1587;q_1648;q_1682,10,0.76917307,FULL_126_CONSTRUCT_LIBRARY,True,higher -> negative PC2 only weakly,Low Absorption does not define practical engagement.,Higher Absorption can fit contemplative/mystical mediated experience.,No direct high-concentration match.,Indirectly covers pensive/reverent only.,"Mystic-like roles are low PC2, but absorption also maps strongly to PC1 negative.",Cross-axis ambiguity is substantial.,No new direct support.,Narrow contemplative neighbor.,"Items cover fantasy, reflection, and aesthetic immersion.",More clearly a PC1-negative imaginative component than a clean PC2 construct.,Most PC2 content remains.,WEAK_OR_NONSPECIFIC,DO NOT PROMOTE.
PC2,MPQ:MPQ:CO,Control,Multidimensional Personality Questionnaire,Constraint,primary_trait,"Deliberate, cautious, planful behavior and restraint of impulsive action.",administered_in_release,q_124;q_623;q_1173;q_1292;q_1321;q_1397;q_1422;q_1424;q_1488;q_1507,10,0.80184898,FULL_126_CONSTRUCT_LIBRARY,True,higher -> negative PC2 weakly,Low Control could fit immediate/reactive action.,Higher Control fits principled/formal/deliberative negative content.,No direct high-concentration coverage.,Indirect fit to principled/solemn only.,Mixed role coherence because procedural control also tracks PC1.,Potential cross-axis confound.,PC1 control is necessary in role diagnostics.,Broad constraint neighbor.,"Items cover planning, caution, and impulse control.",Strong PC1 relevance prevents clean PC2 interpretation.,Abstraction and embodiment remain.,WEAK_OR_NONSPECIFIC,DO NOT use as primary PC2 analogue.
PC2,MPQ:MPQ:HA,Harm Avoidance,Multidimensional Personality Questionnaire,Constraint,primary_trait,"Avoidance of dangerous, risky, and physically threatening experiences.",administered_in_release,q_294;q_315;q_598;q_599;q_746;q_1662;q_1664;q_1781;q_2017;q_2020,10,0.88642959,FULL_126_CONSTRUCT_LIBRARY,True,lower harm avoidance -> positive PC2 only weakly,Risk tolerance can accompany direct experience.,Higher Harm Avoidance does not cover abstract/theoretical negative PC2.,No high-concentration marker coverage.,No strict marker match.,Daredevil/surfer-like examples are insufficient and counterexamples are numerous.,Not a prior core mapping.,Physicality association is modest and independent of risk only incompletely.,Poor physicality substitute.,Items concern dangerous activities and risk avoidance.,Risk appetite is distinct from bodily engagement and practical action.,Nearly all axis content remains.,POOR_MATCH,DO NOT relabel as physicality.
PC2,MPQ:MPQ:TR,Traditionalism,Multidimensional Personality Questionnaire,Constraint,primary_trait,"Endorsement of conventional morality, social propriety, and traditional institutions.",administered_in_release,q_345;q_348;q_359;q_369;q_394;q_398;q_660;q_1328;q_1824;q_1825,10,0.78092864,FULL_126_CONSTRUCT_LIBRARY,True,higher -> negative PC2,Low Traditionalism weakly fits informal/direct engagement.,"Covers ritualistic, reverent, principled, and formalized negative content.",Covers ritualistic/reverent/principled by semantic proximity.,Covers a meaningful strict-negative subset.,"Fits traditionalist, purist, ascetic, and standards-bearing roles, but not theorist/philosopher alone.",Retain prior partial mapping.,Ritual/formal role ratings correlate r=-.255 with PC2.,"Good for conventional/ritual mediation, not abstraction broadly.","Items emphasize conventional morality, religion, propriety, and traditional institutions.","Ritual/formal mediation also includes secular institutional procedure and contemplation, which this construct misses.","Theoretical abstraction, introversion, and positive practical experience remain.",PARTIAL_COMPONENT,RETAIN as ritual/conventional facet.
PC2,SPI_15impulsivity,Impulsivity,SAPA Personality Inventory,Conscientiousness,narrow_trait,"Tendency toward unplanned, immediate action and weak behavioral restraint.",administered_in_release,q_35;q_636;q_708;q_1173;q_1424;q_1511;q_1638;q_4270,8,0.8847738,FULL_126_CONSTRUCT_LIBRARY,True,higher -> positive PC2,"Covers immediate, unplanned action in broad positive context.","Lower Impulsivity partly fits principled, solemn, formalized negative content.",No direct high-concentration marker coverage.,No strict marker match; Qwen impulsive is associated but cross-loading.,"Fits developmental/reactive top-PC2 roles better than physicality, but not practical competence.",Useful contextual component from broader mapping.,Earlier conditional work tied high PC2 partly to developmental/reactive action.,"Relevant behavioral component, not axis identity.",Items cover acting without thought and weak restraint.,"Positive PC2 also includes practical and inquisitive, which are not impulsive.",Experiential competence and abstract/ritual content remain.,PARTIAL_COMPONENT,RETAIN as secondary developmental-immediacy component.
PC2,SPI_15seriousness,Seriousness,SAPA Personality Inventory,Conscientiousness,narrow_trait,"Deliberate, restrained, earnest, and non-frivolous orientation.",administered_in_release,q_175;q_345;q_1120;q_1462;q_1590;q_1685;q_4266;q_4279,8,0.56762669,FULL_126_CONSTRUCT_LIBRARY,True,higher -> negative PC2,Low Seriousness weakly fits casual positive context.,Covers solemn/serious/earnest negative context.,No direct high-concentration coverage except solemn proximity.,Covers solemn and contextual serious.,"Some role coherence, but seriousness also tracks PC1 and affective register.",Previously not a leading mapping.,No focused evidence.,Narrow register component.,"Items mix deliberation, restraint, seriousness, and non-frivolity.",Does not explain theoretical abstraction or experience.,Most axis content remains.,PARTIAL_COMPONENT,ADD as narrow register facet.
PC2,NO_DIRECT_HUMAN_MEASURE,No single SAPA construct captures the whole PC2 axis,AA-8 synthesis,model-specific residual,axis-level conclusion,The bipolar Qwen axis requires a hierarchy of partial human analogues and retains model-specific content.,no,,0,,FULL_126_CONSTRUCT_LIBRARY,True,not scoreable as one construct,Requires several facets.,Requires several facets.,No single library entry covers both poles.,No single library entry covers both poles.,Compound interpretation fits role evidence better than a single human trait.,Consistent with the model-side evidence hierarchy.,Consistent with bounded diagnostics.,No direct construct definition exists.,No single validated scale has the required content breadth.,A compound is less parsimonious but avoids false equivalence.,Substantial and explicitly retained.,NO_DIRECT_HUMAN_MEASURE,FINAL_AXIS_LEVEL_CONCLUSION
