model,trait,component,retained,trait_loading,trait_weight,supported_consensus_axis
Llama,cynical,C1,True,0.7934468542395617,0.008066463829515,True
Gemma,cynical,C1,True,0.8093246389216343,0.0093779191593989,True
Qwen,data_driven,C1,True,-0.7757422025257226,-0.005892023706092,True
Llama,data_driven,C1,True,-0.4243284087603763,-0.0088561733402268,True
Gemma,data_driven,C1,True,-0.801611892549669,-0.0049034867184787,True
Qwen,decisive,C1,True,0.04185518538499,-0.0031837980309898,True
Llama,decisive,C1,True,-0.4311626439324607,-0.0039938269086155,True
Gemma,decisive,C1,True,0.2441190263134034,-0.0016592086832796,True
Qwen,deconstructionist,C1,True,0.7658445174680211,0.0059859595612362,True
Llama,deconstructionist,C1,True,0.3941087696335668,0.0016637445153224,True
Gemma,deconstructionist,C1,True,0.4682996280981467,0.0051130203309316,True
Qwen,deferential,C1,True,-0.1566234648278776,0.0019290109552712,True
Llama,deferential,C1,True,0.0933930503865589,-0.0021734108246434,True
Gemma,deferential,C1,True,-0.7362516355960007,-0.0027283984469335,True
Qwen,deontological,C1,True,0.508408378091433,0.0104574111242354,True
Llama,deontological,C1,True,0.3536115993268903,-0.0099738089352847,True
Gemma,deontological,C1,True,0.4018103431320907,0.0164341499938622,True
Qwen,descriptive,C1,True,-0.8772561744474243,-0.0049644480317362,True
Llama,descriptive,C1,True,-0.5467685017218855,-0.0008863468832036,True
Gemma,descriptive,C1,True,-0.7677135872315807,-0.0043278984624756,True
Qwen,detached,C1,True,-0.7029809597478,-0.0036841349337145,True
Llama,detached,C1,True,-0.4879399938875853,-0.0073147881321525,True
Gemma,detached,C1,True,-0.5166247284680143,-0.0026063380678402,True
Qwen,deterministic,C1,True,0.4796545911261572,0.009043173218711,True
Llama,deterministic,C1,True,0.8057526134055927,0.0097829630021053,True
Gemma,deterministic,C1,True,0.8129534711790736,0.00582358652098,True
Qwen,diplomatic,C1,True,-0.9208248229768066,-0.007727773633526,True
Llama,diplomatic,C1,True,-0.8234835548450028,-0.0053643574457582,True
Gemma,diplomatic,C1,True,-0.8558808475431428,-0.0073858200619442,True
Qwen,disorganized,C1,True,0.8740119448898822,0.0087103420850558,True
Llama,disorganized,C1,True,0.7451054465714632,0.0088324342420862,True
Gemma,disorganized,C1,True,0.8981077774396077,0.0071938649910037,True
Qwen,dispassionate,C1,True,-0.7901878596368769,-0.0050779472763101,True
Llama,dispassionate,C1,True,-0.6354531235499006,-0.0073089708100497,True
Gemma,dispassionate,C1,True,-0.7226805629385739,-0.0042197937216229,True
Qwen,divergent,C1,True,0.3548012847867594,0.0027118341666327,True
Llama,divergent,C1,True,-0.4707073212274361,0.001095226421958,True
Gemma,divergent,C1,True,0.2704850825254882,0.0032583307336242,True
Qwen,dogmatic,C1,True,0.8207004762884572,0.0101157455703294,True
Llama,dogmatic,C1,True,0.8622073976247325,0.0052415881003469,True
Gemma,dogmatic,C1,True,0.9036226080332554,0.0081645499527787,True
Qwen,dominant,C1,True,0.2455609109976817,-0.0007681335452057,True
Llama,dominant,C1,True,-0.1731945467263848,0.0022228407098131,True
Gemma,dominant,C1,True,0.4385239480921133,-0.002097752114897,True
Qwen,dramatic,C1,True,0.9645472229926252,0.0069435947831581,True
Llama,dramatic,C1,True,0.7889591809147365,0.0138264156027124,True
Gemma,dramatic,C1,True,0.9140907715603817,0.0083498938373168,True
Qwen,earnest,C1,True,-0.5827581780967818,-0.0085768108673186,True
Llama,earnest,C1,True,-0.6092595206313045,-0.0034502596242512,True
Gemma,earnest,C1,True,-0.5759479637380853,-0.009033550109644,True
Qwen,eclectic,C1,True,0.7344032362418174,0.00835769838144,True
Llama,eclectic,C1,True,0.4069578685607873,0.0065449790352015,True
Gemma,eclectic,C1,True,0.703514663571127,0.0024496540612772,True
Qwen,edgy,C1,True,0.9153273610505877,0.0083360983650272,True
Llama,edgy,C1,True,0.9188670892062166,0.007487385721402,True
Gemma,edgy,C1,True,0.9234980823712392,0.0103924671061714,True
Qwen,educational,C1,True,-0.818248073121095,-0.0066359112604866,True
Llama,educational,C1,True,-0.6153761071509106,-0.0056596859816465,True
Gemma,educational,C1,True,-0.7758787807207979,-0.0080699987766281,True
Qwen,efficient,C1,True,0.4753622834282264,-0.0029735509097489,True
Llama,efficient,C1,True,0.4473734438559457,0.0056827000832408,True
Gemma,efficient,C1,True,0.1483315237626771,-0.0021090710225612,True
Qwen,effusive,C1,True,0.8830535724765909,0.0076498105188506,True
Llama,effusive,C1,True,0.8005630921298124,0.005131780091041,True
Gemma,effusive,C1,True,0.8300676804856033,0.0073207757730034,True
Qwen,egalitarian,C1,True,0.3426350835829484,-0.0050134769383695,True
Llama,egalitarian,C1,True,-0.5143512944965526,-0.0092471045415409,True
Gemma,egalitarian,C1,True,-0.6197586348724391,0.0002694888509351,True
Qwen,elitist,C1,True,0.3634058347086645,0.0087260504030279,True
Llama,elitist,C1,True,0.7864429387168331,0.0074298646334023,True
Gemma,elitist,C1,True,0.7913632010249091,0.0054257568270941,True
Qwen,eloquent,C1,True,0.6106376968051693,0.0066481926682546,True
Llama,eloquent,C1,True,0.1493578605582597,0.0039120563462452,True
Gemma,eloquent,C1,True,0.5868393877449133,0.0055810144089848,True
Qwen,emotional,C1,True,0.7864440047260951,0.0042977103618862,True
Llama,emotional,C1,True,0.5003437198526122,0.008886942678042,True
Gemma,emotional,C1,True,0.6596642866597632,0.0039117839524738,True
Qwen,empathetic,C1,True,0.5598820671465935,0.0020949176816646,True
Llama,empathetic,C1,True,0.191633005850293,0.0036109714530049,True
Gemma,empathetic,C1,True,0.1251223035680811,0.0013625121856467,True
Qwen,enigmatic,C1,True,0.9111119498398824,0.006815520881284,True
Llama,enigmatic,C1,True,0.822390472537342,0.0164962240576485,True
Gemma,enigmatic,C1,True,0.88945403765811,0.0082697188333113,True
Qwen,entertaining,C1,True,0.8616337278558193,0.0082148702092266,True
Llama,entertaining,C1,True,0.8355233598305174,0.0095033423802163,True
Gemma,entertaining,C1,True,0.8120918809577312,0.007276663195473,True
Qwen,environmental,C1,True,0.4929535751296623,0.0067782667306787,True
Llama,environmental,C1,True,0.1145180110131118,-0.0017198523562185,True
Gemma,environmental,C1,True,0.1504340996754967,0.00049714689769,True
Qwen,epicurean,C1,True,0.6220581787315205,0.0092703724886905,True
Llama,epicurean,C1,True,0.3033101559561292,0.0050917827787829,True
Gemma,epicurean,C1,True,0.5952983812684685,0.0053031443087655,True
Qwen,erudite,C1,True,-0.2778793998473434,0.0001950023297485,True
Llama,erudite,C1,True,-0.062838569372757,-0.0006532509188337,True
Gemma,erudite,C1,True,-0.0198220672281441,0.0002785030078973,True
Qwen,esoteric,C1,True,0.2590732881422178,0.0044062585547201,True
Llama,esoteric,C1,True,0.5131795795442723,0.0034501955506225,True
Gemma,esoteric,C1,True,0.6207490224762917,0.0068655850627614,True
Qwen,essentialist,C1,True,0.2904814605408313,0.0074640056595513,True
Llama,essentialist,C1,True,0.6865584832238013,0.0054399365668665,True
Gemma,essentialist,C1,True,0.6561827679771832,0.0064336640402034,True
Qwen,ethereal,C1,True,0.8610039575654233,0.006150635774827,True
Llama,ethereal,C1,True,0.7216444010542181,0.0159305859838144,True
Gemma,ethereal,C1,True,0.8275790854244445,0.0080520336136222,True
Qwen,evil,C1,True,0.9427527395683792,0.0095366603221732,True
Llama,evil,C1,True,0.925833371645991,0.008478711483593,True
Gemma,evil,C1,True,0.9585519799149844,0.0101446376866364,True
Qwen,existentialist,C1,True,0.7115156679090386,-0.0002692956761924,True
Llama,existentialist,C1,True,0.171555391015005,0.0066584435791569,True
Gemma,existentialist,C1,True,-0.2596306814732637,0.0015619474154798,True
Qwen,experiential,C1,True,0.1684325391402518,-0.0025101800249396,True
Llama,experiential,C1,True,-0.0613457047895748,0.0028528792820113,True
Gemma,experiential,C1,True,0.0851450150832661,-0.0049506077012002,True
Qwen,exploratory,C1,True,-0.4837804413990063,-0.008505678803295,True
Llama,exploratory,C1,True,-0.6663957760701567,-0.00419649888161,True
Gemma,exploratory,C1,True,-0.721213643712654,-0.0036862752211242,True
Qwen,extroverted,C1,True,0.6713253249066999,0.0057725276557614,True
Llama,extroverted,C1,True,0.0151019863946701,-0.0087064312860161,True
Gemma,extroverted,C1,True,0.3220428396938712,0.0026680892987084,True
Qwen,factual,C1,True,-0.94689109780746,-0.0076456181770988,True
Llama,factual,C1,True,-0.9368387636673632,-0.0110605724449427,True
Gemma,factual,C1,True,-0.9722799144620244,-0.0073234693771237,True
Qwen,fatalistic,C1,True,0.8024696360554011,0.0076871695552794,True
Llama,fatalistic,C1,True,0.8749820844238276,0.0130725332744497,True
Gemma,fatalistic,C1,True,0.8333322137341871,0.0089391099095792,True
Qwen,flexible,C1,True,-0.4995161617517561,-0.008694452363998,True
Llama,flexible,C1,True,-0.8749421485595248,-0.0052309802816498,True
Gemma,flexible,C1,True,-0.8381248416881225,-0.0077144468710266,True
Qwen,flippant,C1,True,0.8242315235133177,0.0095206146938898,True
Llama,flippant,C1,True,0.7101688697235112,0.0037748945035913,True
Gemma,flippant,C1,True,0.7233974244618935,0.0088271700792446,True
Qwen,flirty,C1,True,0.9510747485535072,0.0079055479857394,True
Llama,flirty,C1,True,0.9518259576922744,0.0134089605493483,True
Gemma,flirty,C1,True,0.9267447782888129,0.009156243982858,True
Qwen,forgiving,C1,True,0.2613611066639065,0.0021579885730323,True
Llama,forgiving,C1,True,-0.4606743681808087,-0.0035488727387559,True
Gemma,forgiving,C1,True,0.3061059851057752,0.0038156155561757,True
Qwen,formal,C1,True,-0.6212043038957095,-0.0039208678937112,True
Llama,formal,C1,True,-0.4269830562476988,-0.0024645790117831,True
Gemma,formal,C1,True,-0.3669880973239374,-0.0021130753624307,True
Qwen,formalist,C1,True,-0.7560094926114437,-0.0045681332984362,True
Llama,formalist,C1,True,-0.6408830684317696,-0.0057111655099788,True
Gemma,formalist,C1,True,-0.537466111234363,-0.0019832388938972,True
Qwen,fundamentalist,C1,True,0.498099842056887,0.0095321453186443,True
Llama,fundamentalist,C1,True,0.8036475096688146,0.0033981065169248,True
Gemma,fundamentalist,C1,True,0.7333271889259251,0.0082837202934806,True
Qwen,futuristic,C1,True,0.3483111287408483,-0.0007945391641818,True
Llama,futuristic,C1,True,0.187501615203994,0.0066403973245619,True
Gemma,futuristic,C1,True,0.4304866647809121,-0.0045203728935585,True
Qwen,generalist,C1,True,0.5474848039911243,0.0031433078733248,True
Llama,generalist,C1,True,-0.7335963290910815,-0.0054275565709753,True
Gemma,generalist,C1,True,0.1704436189384987,-0.0017683391274625,True
Qwen,generous,C1,True,-0.313526033870834,-0.0050712628604435,True
Llama,generous,C1,True,-0.5344808394234882,-0.0043986980723373,True
Gemma,generous,C1,True,-0.4874309873287094,-0.0043120673937106,True
Qwen,goofy,C1,True,0.8688255610195573,0.0098644232719955,True
Llama,goofy,C1,True,0.7964782761304572,0.0050045948407529,True
Gemma,goofy,C1,True,0.8323319084706918,0.0100917173780481,True
Qwen,grandiose,C1,True,0.8576766165432455,0.0074560063625702,True
Llama,grandiose,C1,True,0.706961782396657,0.0108252400056845,True
Gemma,grandiose,C1,True,0.83421407828005,0.0076457188739367,True
Qwen,gregarious,C1,True,0.46413973092363,0.0039153299234979,True
Llama,gregarious,C1,True,-0.0860303346643067,-0.0073791266140857,True
Gemma,gregarious,C1,True,0.0105077508743059,0.000526181769485,True
Qwen,grounded,C1,True,-0.6199549392512931,-0.0077690911179271,True
Llama,grounded,C1,True,-0.5598237863460682,-0.0082153056470252,True
Gemma,grounded,C1,True,-0.7729144534022827,-0.0072699661391819,True
Qwen,hedonistic,C1,True,0.8470782602823432,0.0085237148046492,True
Llama,hedonistic,C1,True,0.8713217919702305,0.0069126491937208,True
Gemma,hedonistic,C1,True,0.8265195912697233,0.009288292734443,True
Qwen,historical,C1,True,0.5579824499056807,0.0109549583023494,True
Llama,historical,C1,True,0.7915333915233962,0.0086019669277512,True
Gemma,historical,C1,True,0.7458297399292477,0.0025304046620324,True
Qwen,holistic,C1,True,0.058881913433118,-0.0048371697558403,True
Llama,holistic,C1,True,-0.5454377926972719,-0.0026727468356316,True
Gemma,holistic,C1,True,-0.4101358426371632,-0.0063146347913747,True
Qwen,hostile,C1,True,0.861093277234689,0.0081344236945212,True
Llama,hostile,C1,True,0.7294761927236518,0.0047204919575559,True
Gemma,hostile,C1,True,0.8425982142804598,0.0080014685591098,True
Qwen,humanistic,C1,True,0.3184467460639367,0.0015666090332898,True
Llama,humanistic,C1,True,-0.2369700119645412,-0.0055525524821754,True
Gemma,humanistic,C1,True,-0.2751565929496297,0.0021393262971463,True
Qwen,humble,C1,True,-0.0328493672838807,-0.0036028072810544,True
Llama,humble,C1,True,-0.5138766748888768,-0.0024613390739319,True
Gemma,humble,C1,True,-0.6328426974571105,-0.0029034042290705,True
Qwen,iconoclastic,C1,True,0.8646425761357845,0.0060353545096656,True
Llama,iconoclastic,C1,True,0.8579358719088812,0.0054353012290321,True
Gemma,iconoclastic,C1,True,0.9068358253366284,0.0103379076630621,True
Qwen,idealistic,C1,True,0.4241948343320794,0.0067667560369052,True
Llama,idealistic,C1,True,0.3127389196660766,-0.000775222583772,True
Gemma,idealistic,C1,True,0.5986083497332907,0.0064208248601507,True
Qwen,impatient,C1,True,0.8377761322712095,0.0054070306110903,True
Llama,impatient,C1,True,0.6537994713006633,0.0062137869193939,True
Gemma,impatient,C1,True,0.6829000527297762,0.0036701783395518,True
Qwen,improvisational,C1,True,0.904359240659802,0.006865615603358,True
Llama,improvisational,C1,True,0.7623286788281284,0.0073396774998645,True
Gemma,improvisational,C1,True,0.6158368654849813,0.0036081300731461,True
Qwen,impulsive,C1,True,0.8849223586703093,0.0075122163713497,True
Llama,impulsive,C1,True,0.6985441918982146,0.0046737358011645,True
Gemma,impulsive,C1,True,0.7638698799654909,0.0062766136460153,True
Qwen,inclusive,C1,True,0.1651007244984772,-0.0109550056873889,True
Llama,inclusive,C1,True,-0.621098685964762,-0.0022413016669698,True
Gemma,inclusive,C1,True,-0.7684572701813902,-0.0026431379851775,True
Qwen,independent,C1,True,0.6313909280058597,-0.0019989250093902,True
Llama,independent,C1,True,-0.3452108106731257,-0.0008902113371431,True
Gemma,independent,C1,True,-0.08243786137275,0.002942922382966,True
Qwen,individualistic,C1,True,0.9648719876389366,0.0066996161669532,True
Llama,individualistic,C1,True,0.8848943429756637,0.0123516153906051,True
Gemma,individualistic,C1,True,0.911111833512132,0.0067083866242195,True
Qwen,innovative,C1,True,0.8405233158019828,0.004125993732202,True
Llama,innovative,C1,True,0.6063402618880424,0.0088225547362328,True
Gemma,innovative,C1,True,0.805538562390082,0.0032871586870646,True
Qwen,inquisitive,C1,True,0.1891944094351728,-0.0047781046091837,True
Llama,inquisitive,C1,True,0.0280782998373828,-0.0064379325529008,True
Gemma,inquisitive,C1,True,-0.474566212436261,-0.0010004110685213,True
Qwen,inspirational,C1,True,-0.4131155045229789,-0.0077559653983897,True
Llama,inspirational,C1,True,-0.6767070332553967,-0.0046609693662755,True
Gemma,inspirational,C1,True,-0.6102814170973154,-0.0075145567919609,True
Qwen,interdisciplinary,C1,True,0.4858650933955933,0.0016675043113311,True
Llama,interdisciplinary,C1,True,-0.2661994961404569,-0.0006907501629406,True
Gemma,interdisciplinary,C1,True,0.4693658170481233,-0.008085732771876,True
Qwen,introspective,C1,True,0.7100564924060377,0.0036158076581855,True
Llama,introspective,C1,True,0.0949500514622154,0.0082041194630398,True
Gemma,introspective,C1,True,-0.1849433031169718,-0.0031049134490094,True
Qwen,introverted,C1,True,-0.2232007984143572,-0.0022287666884006,True
Llama,introverted,C1,True,-0.0658281730476181,0.0044754235107384,True
Gemma,introverted,C1,True,-0.0430051504039601,-3.232825869770848e-05,True
Qwen,intuitive,C1,True,0.8243842047975255,0.0049186950464319,True
Llama,intuitive,C1,True,0.0808830008718735,0.0076743622230452,True
Gemma,intuitive,C1,True,0.7635243426290507,0.002892731473949,True
Qwen,ironic,C1,True,0.9371572570605384,0.0104446361487407,True
Llama,ironic,C1,True,0.9000242428384208,0.0053615127824094,True
Gemma,ironic,C1,True,0.9409419719208192,0.0103366167747779,True
Qwen,irreverent,C1,True,0.813284174838136,0.0080286213270302,True
Llama,irreverent,C1,True,0.7187375872521483,0.0045646341495948,True
Gemma,irreverent,C1,True,0.7238882934307289,0.0081653903959661,True
Qwen,judgmental,C1,True,0.8631534253015799,0.00834477713808,True
