trait,canonical_definition,review_decision,bridge_tier,sapa_item_ids,sapa_exact_wording,source_scales,scoring_direction,item_count,planned_missingness_information,source_hashes,review_status
mercurial,"Shifts rapidly between moods, styles, and approaches unpredictably.",ACCEPT_CLOSE,secondary_close,q_52;q_497;q_1099,q_52: Am a person whose moods go up and down easily. | q_497: Change my mood a lot. | q_1099: Have frequent mood swings.,BFAS:BFAS:N:V;IPIP100:B5:ES;IPIPneo:N3:DE,none,3,"[{""item_id"":""q_52"",""valid_response_n"":2497,""missing_fraction"":0.89454791},{""item_id"":""q_497"",""valid_response_n"":2541,""missing_fraction"":0.89268973},{""item_id"":""q_1099"",""valid_response_n"":2622,""missing_fraction"":0.88926897}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
zealous,Shows fervent enthusiasm and passionate advocacy for causes or beliefs.,ACCEPT_CLOSE,secondary_close,q_228,q_228: Am passionate about causes.,IPIPneo:O3:EM,none,1,"[{""item_id"":""q_228"",""valid_response_n"":2501,""missing_fraction"":0.89437899}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
resilient,Bounces back quickly from setbacks and maintains stability through adversity.,ACCEPT_DIRECT,primary_direct,q_1606;q_1616,q_1606: Readily overcome setbacks. | q_1616: Remain calm under pressure.,IPIPneo:N6:VU;HEXACO:H:E:A,none,2,"[{""item_id"":""q_1606"",""valid_response_n"":2479,""missing_fraction"":0.89530808},{""item_id"":""q_1616"",""valid_response_n"":2613,""missing_fraction"":0.88964906}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
cruel,Shows deliberate indifference to suffering and may derive satisfaction from others' pain.,ACCEPT_CLOSE,secondary_close,q_251;q_4251;q_4231,q_251: Am seldom bothered ... suffering of strangers. | q_4251: Enjoy practical jokes that can sometimes really hurt people. | q_4231: It would upset me a lot to see a child or animal suffer.,HEXACO:H:E:S;EPQr:EPQ:P,handled,3,"[{""item_id"":""q_251"",""valid_response_n"":3407,""missing_fraction"":0.85611723},{""item_id"":""q_4251"",""valid_response_n"":2537,""missing_fraction"":0.89285865},{""item_id"":""q_4231"",""valid_response_n"":2436,""missing_fraction"":0.89712403}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
acerbic,"Uses sharp, biting criticism with acidic wit and harsh commentary.",ACCEPT_CLOSE,secondary_close,q_1051,q_1051: Have a sharp tongue.,HEXACO:H:A:G;MPQ:MPQ:AG;IPIPneo:A4:CO,none,1,"[{""item_id"":""q_1051"",""valid_response_n"":2551,""missing_fraction"":0.89226741}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
naive,"Shows innocent trust, lacks worldly experience, and assumes good intentions.",ACCEPT_CLOSE,secondary_close,q_377;q_1854;q_1758,q_377: Believe that others have good intentions. | q_1854: Trust others. | q_1758: Suspect hidden motives in others.,IPIPneo:A1:TR;MPQ:MPQ:AL,handled,3,"[{""item_id"":""q_377"",""valid_response_n"":2481,""missing_fraction"":0.89522362},{""item_id"":""q_1854"",""valid_response_n"":2459,""missing_fraction"":0.89615271},{""item_id"":""q_1758"",""valid_response_n"":2415,""missing_fraction"":0.8980109}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
perfectionist,"Strives for flawless accuracy, completeness, and high standards.",ACCEPT_DIRECT,primary_direct,q_1694;q_530;q_1915,q_1694: Set high standards for myself and others. | q_530: Continue until everything is perfect. | q_1915: Want every detail taken care of.,IPIPneo:C4:AS;IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:AC,none,3,"[{""item_id"":""q_1694"",""valid_response_n"":2498,""missing_fraction"":0.89450568},{""item_id"":""q_530"",""valid_response_n"":4335,""missing_fraction"":0.81692639},{""item_id"":""q_1915"",""valid_response_n"":4381,""missing_fraction"":0.81498374}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
forgiving,"Readily pardons mistakes, releases resentments, and offers second chances.",ACCEPT_DIRECT,primary_direct,q_145;q_915;q_1869,q_145: Am inclined to forgive others. | q_915: Find it hard to forgive others. | q_1869: Try to forgive and forget.,HEXACO:H:A:FO;QB6:QB6:A;MPQ:MPQ:AG,handled,3,"[{""item_id"":""q_145"",""valid_response_n"":2603,""missing_fraction"":0.89007137},{""item_id"":""q_915"",""valid_response_n"":2525,""missing_fraction"":0.89336543},{""item_id"":""q_1869"",""valid_response_n"":2566,""missing_fraction"":0.89163394}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
judgmental,Quick to form negative opinions and harsh assessments of others' choices.,ACCEPT_DIRECT,primary_direct,q_239;q_238,q_239: Am quick to judge others. | q_238: Am quick to correct others.,HEXACO:H:A:G;QB6:QB6:A,none,2,"[{""item_id"":""q_239"",""valid_response_n"":2570,""missing_fraction"":0.89146501},{""item_id"":""q_238"",""valid_response_n"":2576,""missing_fraction"":0.89121162}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
traditional,"Values established methods, conventional wisdom, and proven approaches.",ACCEPT_DIRECT,primary_direct,q_82;q_1301;q_4291,q_82: Am attached to conventional ways. | q_1301: Like to be viewed as proper and conventional. | q_4291: It is better to follow society's rules than to go my own way.,IPIPneo:O4:AD;HEXACO:H:O:U;EPQr:EPQ:P,none,3,"[{""item_id"":""q_82"",""valid_response_n"":2401,""missing_fraction"":0.89860214},{""item_id"":""q_1301"",""valid_response_n"":2753,""missing_fraction"":0.88373664},{""item_id"":""q_4291"",""valid_response_n"":2435,""missing_fraction"":0.89716627}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
conscientious,Demonstrates careful attention to responsibilities and thoroughness in work.,ACCEPT_DIRECT,primary_direct,q_1507;q_1422;q_491,q_1507: Pay attention to details. | q_1422: Make plans and stick to them. | q_491: Carry out my plans.,IPIP100:B5:C;HEXACO:H:C:PE;MPQ:MPQ:CO;IPIPneo:C5:SD,none,3,"[{""item_id"":""q_1507"",""valid_response_n"":4333,""missing_fraction"":0.81701085},{""item_id"":""q_1422"",""valid_response_n"":2693,""missing_fraction"":0.88627054},{""item_id"":""q_491"",""valid_response_n"":2728,""missing_fraction"":0.88479243}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
goofy,"Embraces silly humor, makes deliberately ridiculous jokes, and acts playfully foolish.",ACCEPT_CLOSE,secondary_close,q_4265;q_1685,q_4265: Like telling jokes and funny stories to my friends. | q_1685: Seldom joke around.,EPQr:EPQ:E;QB6:QB6:X;IPIPneo:E6:CH,handled,2,"[{""item_id"":""q_4265"",""valid_response_n"":2493,""missing_fraction"":0.89471684},{""item_id"":""q_1685"",""valid_response_n"":2726,""missing_fraction"":0.8848769}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
adventurous,"Encourages exploration, risk-taking, and trying new experiences. Presents exciting possibilities and unconventional approaches.",ACCEPT_DIRECT,primary_direct,q_1662;q_2011,q_1662: Seek adventure. | q_2011: Would love to explore strange places.,MPQ:MPQ:HA;IPIPneo:E5:ES;HEXACO:H:O:I,none,2,"[{""item_id"":""q_1662"",""valid_response_n"":2469,""missing_fraction"":0.89573039},{""item_id"":""q_2011"",""valid_response_n"":2789,""missing_fraction"":0.88221631}]","{""blinded_packet"":""c4e40601f9855769fd1040eed11c4120e46224d0d27ae0caa2f7b4d672af1814"",""frozen_rubric"":""cfc2df83d2dc463966b337ee3bc461411ab24e1711e6e53e48976a1876381dae"",""item_dictionary"":""6297d7fc351cea2121a1a211c5203f9e1bc07d0157c551087e0820b8bbd6bda9"",""original_crosswalk"":""4000593255646b75e509a0e1e194dec52fd3770b58503b3df0d3388bd53d6d37"",""scale_inventory"":""1db3444330e4a500eeb0189f0b6a020c27d4ee27d7ff34cba40e08a76460e965"",""second_pass_review"":""f8e77caf9f5970ac8c48743e8422f04a146ac8013fb3cac5a88b1069c82c29a6""}",provisional_v1_pending_independent_external_review
